country,country_code,indicator,indicator_code,year,value
Antigua and Barbuda,ATG,"Population, total",SP.POP.TOTL,1960,55603.0
Antigua and Barbuda,ATG,"Population, total",SP.POP.TOTL,1961,56540.0
Antigua and Barbuda,ATG,"Population, total",SP.POP.TOTL,1962,57336.0
Antigua and Barbuda,ATG,"Population, total",SP.POP.TOTL,1963,58138.0
Antigua and Barbuda,ATG,"Population, total",SP.POP.TOTL,1964,59020.0
Antigua and Barbuda,ATG,"Population, total",SP.POP.TOTL,1965,59970.0
Antigua and Barbuda,ATG,"Population, total",SP.POP.TOTL,1966,60900.0
Antigua and Barbuda,ATG,"Population, total",SP.POP.TOTL,1967,61837.0
Antigua and Barbuda,ATG,"Population, total",SP.POP.TOTL,1968,62809.0
Antigua and Barbuda,ATG,"Population, total",SP.POP.TOTL,1969,63819.0
Antigua and Barbuda,ATG,"Population, total",SP.POP.TOTL,1970,64528.0
Antigua and Barbuda,ATG,"Population, total",SP.POP.TOTL,1971,64729.0
Antigua and Barbuda,ATG,"Population, total",SP.POP.TOTL,1972,64615.0
Antigua and Barbuda,ATG,"Population, total",SP.POP.TOTL,1973,64342.0
Antigua and Barbuda,ATG,"Population, total",SP.POP.TOTL,1974,64058.0
Antigua and Barbuda,ATG,"Population, total",SP.POP.TOTL,1975,63839.0
Antigua and Barbuda,ATG,"Population, total",SP.POP.TOTL,1976,63762.0
Antigua and Barbuda,ATG,"Population, total",SP.POP.TOTL,1977,63862.0
Antigua and Barbuda,ATG,"Population, total",SP.POP.TOTL,1978,64038.0
Antigua and Barbuda,ATG,"Population, total",SP.POP.TOTL,1979,64274.0
Antigua and Barbuda,ATG,"Population, total",SP.POP.TOTL,1980,64513.0
Antigua and Barbuda,ATG,"Population, total",SP.POP.TOTL,1981,64665.0
Antigua and Barbuda,ATG,"Population, total",SP.POP.TOTL,1982,64785.0
Antigua and Barbuda,ATG,"Population, total",SP.POP.TOTL,1983,64934.0
Antigua and Barbuda,ATG,"Population, total",SP.POP.TOTL,1984,64882.0
Antigua and Barbuda,ATG,"Population, total",SP.POP.TOTL,1985,64591.0
Antigua and Barbuda,ATG,"Population, total",SP.POP.TOTL,1986,64276.0
Antigua and Barbuda,ATG,"Population, total",SP.POP.TOTL,1987,63946.0
Antigua and Barbuda,ATG,"Population, total",SP.POP.TOTL,1988,63623.0
Antigua and Barbuda,ATG,"Population, total",SP.POP.TOTL,1989,63325.0
Antigua and Barbuda,ATG,"Population, total",SP.POP.TOTL,1990,63066.0
Antigua and Barbuda,ATG,"Population, total",SP.POP.TOTL,1991,63387.0
Antigua and Barbuda,ATG,"Population, total",SP.POP.TOTL,1992,64404.0
Antigua and Barbuda,ATG,"Population, total",SP.POP.TOTL,1993,65587.0
Antigua and Barbuda,ATG,"Population, total",SP.POP.TOTL,1994,66843.0
Antigua and Barbuda,ATG,"Population, total",SP.POP.TOTL,1995,68189.0
Antigua and Barbuda,ATG,"Population, total",SP.POP.TOTL,1996,69612.0
Antigua and Barbuda,ATG,"Population, total",SP.POP.TOTL,1997,71053.0
Antigua and Barbuda,ATG,"Population, total",SP.POP.TOTL,1998,72412.0
Antigua and Barbuda,ATG,"Population, total",SP.POP.TOTL,1999,73666.0
Antigua and Barbuda,ATG,"Population, total",SP.POP.TOTL,2000,74912.0
Antigua and Barbuda,ATG,"Population, total",SP.POP.TOTL,2001,76069.0
Antigua and Barbuda,ATG,"Population, total",SP.POP.TOTL,2002,77032.0
Antigua and Barbuda,ATG,"Population, total",SP.POP.TOTL,2003,77884.0
Antigua and Barbuda,ATG,"Population, total",SP.POP.TOTL,2004,78719.0
Antigua and Barbuda,ATG,"Population, total",SP.POP.TOTL,2005,79611.0
Antigua and Barbuda,ATG,"Population, total",SP.POP.TOTL,2006,80604.0
Antigua and Barbuda,ATG,"Population, total",SP.POP.TOTL,2007,81704.0
Antigua and Barbuda,ATG,"Population, total",SP.POP.TOTL,2008,82912.0
Antigua and Barbuda,ATG,"Population, total",SP.POP.TOTL,2009,84173.0
Antigua and Barbuda,ATG,"Population, total",SP.POP.TOTL,2010,85320.0
Antigua and Barbuda,ATG,"Population, total",SP.POP.TOTL,2011,86332.0
Antigua and Barbuda,ATG,"Population, total",SP.POP.TOTL,2012,87260.0
Antigua and Barbuda,ATG,"Population, total",SP.POP.TOTL,2013,88064.0
Antigua and Barbuda,ATG,"Population, total",SP.POP.TOTL,2014,88765.0
Antigua and Barbuda,ATG,"Population, total",SP.POP.TOTL,2015,89409.0
Antigua and Barbuda,ATG,"Population, total",SP.POP.TOTL,2016,89969.0
Antigua and Barbuda,ATG,"Population, total",SP.POP.TOTL,2017,90468.0
Antigua and Barbuda,ATG,"Population, total",SP.POP.TOTL,2018,90926.0
Antigua and Barbuda,ATG,"Population, total",SP.POP.TOTL,2019,91364.0
Antigua and Barbuda,ATG,"Population, total",SP.POP.TOTL,2020,91846.0
Antigua and Barbuda,ATG,"Population, total",SP.POP.TOTL,2021,92349.0
Antigua and Barbuda,ATG,"Population, total",SP.POP.TOTL,2022,92840.0
Antigua and Barbuda,ATG,"Population, total",SP.POP.TOTL,2023,93316.0
Antigua and Barbuda,ATG,"Population, total",SP.POP.TOTL,2024,93772.0
