country,country_code,indicator,indicator_code,year,value
Argentina,ARG,"Current account balance (BoP, current US$)",BN.CAB.XOKA.CD,1976,651000000.0
Argentina,ARG,"Current account balance (BoP, current US$)",BN.CAB.XOKA.CD,1977,1126000000.0
Argentina,ARG,"Current account balance (BoP, current US$)",BN.CAB.XOKA.CD,1978,1856000000.0
Argentina,ARG,"Current account balance (BoP, current US$)",BN.CAB.XOKA.CD,1979,-513000000.0
Argentina,ARG,"Current account balance (BoP, current US$)",BN.CAB.XOKA.CD,1980,-4774000000.0
Argentina,ARG,"Current account balance (BoP, current US$)",BN.CAB.XOKA.CD,1981,-4712000000.0
Argentina,ARG,"Current account balance (BoP, current US$)",BN.CAB.XOKA.CD,1982,-2353000000.0
Argentina,ARG,"Current account balance (BoP, current US$)",BN.CAB.XOKA.CD,1983,-2436000000.0
Argentina,ARG,"Current account balance (BoP, current US$)",BN.CAB.XOKA.CD,1984,-2495000000.0
Argentina,ARG,"Current account balance (BoP, current US$)",BN.CAB.XOKA.CD,1985,-952000000.0
Argentina,ARG,"Current account balance (BoP, current US$)",BN.CAB.XOKA.CD,1986,-2859000000.0
Argentina,ARG,"Current account balance (BoP, current US$)",BN.CAB.XOKA.CD,1987,-4235000000.0
Argentina,ARG,"Current account balance (BoP, current US$)",BN.CAB.XOKA.CD,1988,-1572000000.0
Argentina,ARG,"Current account balance (BoP, current US$)",BN.CAB.XOKA.CD,1989,-1305000000.0
Argentina,ARG,"Current account balance (BoP, current US$)",BN.CAB.XOKA.CD,1990,4552000000.0
Argentina,ARG,"Current account balance (BoP, current US$)",BN.CAB.XOKA.CD,1991,-647000000.0
Argentina,ARG,"Current account balance (BoP, current US$)",BN.CAB.XOKA.CD,1992,-5547754558.62268
Argentina,ARG,"Current account balance (BoP, current US$)",BN.CAB.XOKA.CD,1993,-8205889940.16499
Argentina,ARG,"Current account balance (BoP, current US$)",BN.CAB.XOKA.CD,1994,-10979452970.0946
Argentina,ARG,"Current account balance (BoP, current US$)",BN.CAB.XOKA.CD,1995,-5117957254.29082
Argentina,ARG,"Current account balance (BoP, current US$)",BN.CAB.XOKA.CD,1996,-6769978160.48527
Argentina,ARG,"Current account balance (BoP, current US$)",BN.CAB.XOKA.CD,1997,-12138068595.3394
Argentina,ARG,"Current account balance (BoP, current US$)",BN.CAB.XOKA.CD,1998,-14481998042.2511
Argentina,ARG,"Current account balance (BoP, current US$)",BN.CAB.XOKA.CD,1999,-11942825328.0158
Argentina,ARG,"Current account balance (BoP, current US$)",BN.CAB.XOKA.CD,2000,-8980617892.62761
Argentina,ARG,"Current account balance (BoP, current US$)",BN.CAB.XOKA.CD,2001,-3780423241.1936
Argentina,ARG,"Current account balance (BoP, current US$)",BN.CAB.XOKA.CD,2002,8766610000.0
Argentina,ARG,"Current account balance (BoP, current US$)",BN.CAB.XOKA.CD,2003,8139930000.0
Argentina,ARG,"Current account balance (BoP, current US$)",BN.CAB.XOKA.CD,2004,3211790000.0
Argentina,ARG,"Current account balance (BoP, current US$)",BN.CAB.XOKA.CD,2005,5273750000.0
Argentina,ARG,"Current account balance (BoP, current US$)",BN.CAB.XOKA.CD,2006,6498802520.20453
Argentina,ARG,"Current account balance (BoP, current US$)",BN.CAB.XOKA.CD,2007,6048537892.88669
Argentina,ARG,"Current account balance (BoP, current US$)",BN.CAB.XOKA.CD,2008,5421206328.61008
Argentina,ARG,"Current account balance (BoP, current US$)",BN.CAB.XOKA.CD,2009,7254115683.93703
Argentina,ARG,"Current account balance (BoP, current US$)",BN.CAB.XOKA.CD,2010,-1622995871.25068
Argentina,ARG,"Current account balance (BoP, current US$)",BN.CAB.XOKA.CD,2011,-5340181192.3952
Argentina,ARG,"Current account balance (BoP, current US$)",BN.CAB.XOKA.CD,2012,-2138040360.43296
Argentina,ARG,"Current account balance (BoP, current US$)",BN.CAB.XOKA.CD,2013,-13124373785.8633
Argentina,ARG,"Current account balance (BoP, current US$)",BN.CAB.XOKA.CD,2014,-9179026266.87552
Argentina,ARG,"Current account balance (BoP, current US$)",BN.CAB.XOKA.CD,2015,-17621985168.21
Argentina,ARG,"Current account balance (BoP, current US$)",BN.CAB.XOKA.CD,2016,-15104786524.5601
Argentina,ARG,"Current account balance (BoP, current US$)",BN.CAB.XOKA.CD,2017,-31151351750.7624
Argentina,ARG,"Current account balance (BoP, current US$)",BN.CAB.XOKA.CD,2018,-27083606451.057
Argentina,ARG,"Current account balance (BoP, current US$)",BN.CAB.XOKA.CD,2019,-3492479581.08422
Argentina,ARG,"Current account balance (BoP, current US$)",BN.CAB.XOKA.CD,2020,2688362005.52313
Argentina,ARG,"Current account balance (BoP, current US$)",BN.CAB.XOKA.CD,2021,6624785192.348
Argentina,ARG,"Current account balance (BoP, current US$)",BN.CAB.XOKA.CD,2022,-4055046516.9124
Argentina,ARG,"Current account balance (BoP, current US$)",BN.CAB.XOKA.CD,2023,-20955532697.5363
Argentina,ARG,"Current account balance (BoP, current US$)",BN.CAB.XOKA.CD,2024,6285327867.47579
