country,country_code,indicator,indicator_code,year,value
"Bahamas, The",BHS,"Services, value added (% of GDP)",NV.SRV.TOTL.ZS,1984,73.4309930919602
"Bahamas, The",BHS,"Services, value added (% of GDP)",NV.SRV.TOTL.ZS,1985,72.9865977070107
"Bahamas, The",BHS,"Services, value added (% of GDP)",NV.SRV.TOTL.ZS,1986,72.958543983822
"Bahamas, The",BHS,"Services, value added (% of GDP)",NV.SRV.TOTL.ZS,1987,73.1171729225193
"Bahamas, The",BHS,"Services, value added (% of GDP)",NV.SRV.TOTL.ZS,1989,68.4825277596342
"Bahamas, The",BHS,"Services, value added (% of GDP)",NV.SRV.TOTL.ZS,1990,70.1550221099179
"Bahamas, The",BHS,"Services, value added (% of GDP)",NV.SRV.TOTL.ZS,1991,66.8485709510279
"Bahamas, The",BHS,"Services, value added (% of GDP)",NV.SRV.TOTL.ZS,1992,66.6082984882599
"Bahamas, The",BHS,"Services, value added (% of GDP)",NV.SRV.TOTL.ZS,1993,71.1748382923674
"Bahamas, The",BHS,"Services, value added (% of GDP)",NV.SRV.TOTL.ZS,1994,67.4637005216324
"Bahamas, The",BHS,"Services, value added (% of GDP)",NV.SRV.TOTL.ZS,1995,68.1353747448236
"Bahamas, The",BHS,"Services, value added (% of GDP)",NV.SRV.TOTL.ZS,1996,67.9338597949571
"Bahamas, The",BHS,"Services, value added (% of GDP)",NV.SRV.TOTL.ZS,1997,76.8733931741089
"Bahamas, The",BHS,"Services, value added (% of GDP)",NV.SRV.TOTL.ZS,1998,76.9432273510878
"Bahamas, The",BHS,"Services, value added (% of GDP)",NV.SRV.TOTL.ZS,1999,80.1419076585106
"Bahamas, The",BHS,"Services, value added (% of GDP)",NV.SRV.TOTL.ZS,2000,77.698548994796
"Bahamas, The",BHS,"Services, value added (% of GDP)",NV.SRV.TOTL.ZS,2001,82.3772546445407
"Bahamas, The",BHS,"Services, value added (% of GDP)",NV.SRV.TOTL.ZS,2002,80.9725306153701
"Bahamas, The",BHS,"Services, value added (% of GDP)",NV.SRV.TOTL.ZS,2003,81.4963546029409
"Bahamas, The",BHS,"Services, value added (% of GDP)",NV.SRV.TOTL.ZS,2004,82.3264633159181
"Bahamas, The",BHS,"Services, value added (% of GDP)",NV.SRV.TOTL.ZS,2005,82.1953599967467
"Bahamas, The",BHS,"Services, value added (% of GDP)",NV.SRV.TOTL.ZS,2006,78.9505520175072
"Bahamas, The",BHS,"Services, value added (% of GDP)",NV.SRV.TOTL.ZS,2007,82.0796847718193
"Bahamas, The",BHS,"Services, value added (% of GDP)",NV.SRV.TOTL.ZS,2008,81.2017860535816
"Bahamas, The",BHS,"Services, value added (% of GDP)",NV.SRV.TOTL.ZS,2009,82.3926363159139
"Bahamas, The",BHS,"Services, value added (% of GDP)",NV.SRV.TOTL.ZS,2010,81.1380222984698
"Bahamas, The",BHS,"Services, value added (% of GDP)",NV.SRV.TOTL.ZS,2011,79.8623696061248
"Bahamas, The",BHS,"Services, value added (% of GDP)",NV.SRV.TOTL.ZS,2012,76.9411589119809
"Bahamas, The",BHS,"Services, value added (% of GDP)",NV.SRV.TOTL.ZS,2013,79.0402184185656
"Bahamas, The",BHS,"Services, value added (% of GDP)",NV.SRV.TOTL.ZS,2014,78.3941251986247
"Bahamas, The",BHS,"Services, value added (% of GDP)",NV.SRV.TOTL.ZS,2015,76.8373656822329
"Bahamas, The",BHS,"Services, value added (% of GDP)",NV.SRV.TOTL.ZS,2016,76.489996549083
"Bahamas, The",BHS,"Services, value added (% of GDP)",NV.SRV.TOTL.ZS,2017,74.960030208325
"Bahamas, The",BHS,"Services, value added (% of GDP)",NV.SRV.TOTL.ZS,2018,75.138854218672
"Bahamas, The",BHS,"Services, value added (% of GDP)",NV.SRV.TOTL.ZS,2019,74.3692099118777
"Bahamas, The",BHS,"Services, value added (% of GDP)",NV.SRV.TOTL.ZS,2020,76.4657634707426
"Bahamas, The",BHS,"Services, value added (% of GDP)",NV.SRV.TOTL.ZS,2021,77.1770374678076
"Bahamas, The",BHS,"Services, value added (% of GDP)",NV.SRV.TOTL.ZS,2022,80.3098555063036
"Bahamas, The",BHS,"Services, value added (% of GDP)",NV.SRV.TOTL.ZS,2023,78.5584724286734
"Bahamas, The",BHS,"Services, value added (% of GDP)",NV.SRV.TOTL.ZS,2024,77.1859683694609
