country,country_code,indicator,indicator_code,year,value
Bangladesh,BGD,Urban population (% of total population),SP.URB.TOTL.IN.ZS,1960,5.135
Bangladesh,BGD,Urban population (% of total population),SP.URB.TOTL.IN.ZS,1961,5.278
Bangladesh,BGD,Urban population (% of total population),SP.URB.TOTL.IN.ZS,1962,5.498
Bangladesh,BGD,Urban population (% of total population),SP.URB.TOTL.IN.ZS,1963,5.727
Bangladesh,BGD,Urban population (% of total population),SP.URB.TOTL.IN.ZS,1964,5.964
Bangladesh,BGD,Urban population (% of total population),SP.URB.TOTL.IN.ZS,1965,6.211
Bangladesh,BGD,Urban population (% of total population),SP.URB.TOTL.IN.ZS,1966,6.467
Bangladesh,BGD,Urban population (% of total population),SP.URB.TOTL.IN.ZS,1967,6.733
Bangladesh,BGD,Urban population (% of total population),SP.URB.TOTL.IN.ZS,1968,7.009
Bangladesh,BGD,Urban population (% of total population),SP.URB.TOTL.IN.ZS,1969,7.296
Bangladesh,BGD,Urban population (% of total population),SP.URB.TOTL.IN.ZS,1970,7.593
Bangladesh,BGD,Urban population (% of total population),SP.URB.TOTL.IN.ZS,1971,7.901
Bangladesh,BGD,Urban population (% of total population),SP.URB.TOTL.IN.ZS,1972,8.221
Bangladesh,BGD,Urban population (% of total population),SP.URB.TOTL.IN.ZS,1973,8.553
Bangladesh,BGD,Urban population (% of total population),SP.URB.TOTL.IN.ZS,1974,9.034
Bangladesh,BGD,Urban population (% of total population),SP.URB.TOTL.IN.ZS,1975,9.836
Bangladesh,BGD,Urban population (% of total population),SP.URB.TOTL.IN.ZS,1976,10.701
Bangladesh,BGD,Urban population (% of total population),SP.URB.TOTL.IN.ZS,1977,11.63
Bangladesh,BGD,Urban population (% of total population),SP.URB.TOTL.IN.ZS,1978,12.629
Bangladesh,BGD,Urban population (% of total population),SP.URB.TOTL.IN.ZS,1979,13.701
Bangladesh,BGD,Urban population (% of total population),SP.URB.TOTL.IN.ZS,1980,14.851
Bangladesh,BGD,Urban population (% of total population),SP.URB.TOTL.IN.ZS,1981,15.801
Bangladesh,BGD,Urban population (% of total population),SP.URB.TOTL.IN.ZS,1982,16.212
Bangladesh,BGD,Urban population (% of total population),SP.URB.TOTL.IN.ZS,1983,16.631
Bangladesh,BGD,Urban population (% of total population),SP.URB.TOTL.IN.ZS,1984,17.06
Bangladesh,BGD,Urban population (% of total population),SP.URB.TOTL.IN.ZS,1985,17.496
Bangladesh,BGD,Urban population (% of total population),SP.URB.TOTL.IN.ZS,1986,17.941
Bangladesh,BGD,Urban population (% of total population),SP.URB.TOTL.IN.ZS,1987,18.395
Bangladesh,BGD,Urban population (% of total population),SP.URB.TOTL.IN.ZS,1988,18.859
Bangladesh,BGD,Urban population (% of total population),SP.URB.TOTL.IN.ZS,1989,19.33
Bangladesh,BGD,Urban population (% of total population),SP.URB.TOTL.IN.ZS,1990,19.811
Bangladesh,BGD,Urban population (% of total population),SP.URB.TOTL.IN.ZS,1991,20.257
Bangladesh,BGD,Urban population (% of total population),SP.URB.TOTL.IN.ZS,1992,20.61
Bangladesh,BGD,Urban population (% of total population),SP.URB.TOTL.IN.ZS,1993,20.966
Bangladesh,BGD,Urban population (% of total population),SP.URB.TOTL.IN.ZS,1994,21.328
Bangladesh,BGD,Urban population (% of total population),SP.URB.TOTL.IN.ZS,1995,21.693
Bangladesh,BGD,Urban population (% of total population),SP.URB.TOTL.IN.ZS,1996,22.064
Bangladesh,BGD,Urban population (% of total population),SP.URB.TOTL.IN.ZS,1997,22.438
Bangladesh,BGD,Urban population (% of total population),SP.URB.TOTL.IN.ZS,1998,22.818
Bangladesh,BGD,Urban population (% of total population),SP.URB.TOTL.IN.ZS,1999,23.202
Bangladesh,BGD,Urban population (% of total population),SP.URB.TOTL.IN.ZS,2000,23.59
Bangladesh,BGD,Urban population (% of total population),SP.URB.TOTL.IN.ZS,2001,24.096
Bangladesh,BGD,Urban population (% of total population),SP.URB.TOTL.IN.ZS,2002,24.756
Bangladesh,BGD,Urban population (% of total population),SP.URB.TOTL.IN.ZS,2003,25.429
Bangladesh,BGD,Urban population (% of total population),SP.URB.TOTL.IN.ZS,2004,26.114
Bangladesh,BGD,Urban population (% of total population),SP.URB.TOTL.IN.ZS,2005,26.809
Bangladesh,BGD,Urban population (% of total population),SP.URB.TOTL.IN.ZS,2006,27.517
Bangladesh,BGD,Urban population (% of total population),SP.URB.TOTL.IN.ZS,2007,28.237
Bangladesh,BGD,Urban population (% of total population),SP.URB.TOTL.IN.ZS,2008,28.968
Bangladesh,BGD,Urban population (% of total population),SP.URB.TOTL.IN.ZS,2009,29.709
Bangladesh,BGD,Urban population (% of total population),SP.URB.TOTL.IN.ZS,2010,30.462
