country,country_code,indicator,indicator_code,year,value
Belgium,BEL,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,1960,0.299467254769695
Belgium,BEL,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,1961,0.992676260767339
Belgium,BEL,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,1962,1.40460703543514
Belgium,BEL,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,1963,2.14800341332202
Belgium,BEL,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,1964,4.1687605856437
Belgium,BEL,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,1965,4.06520137474643
Belgium,BEL,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,1966,4.17434761852995
Belgium,BEL,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,1967,2.73030268590907
Belgium,BEL,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,1968,2.70144982931349
Belgium,BEL,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,1969,3.75399229053284
Belgium,BEL,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,1970,3.9084723847191
Belgium,BEL,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,1971,4.34362854612092
Belgium,BEL,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,1972,5.44843128438085
Belgium,BEL,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,1973,6.95528008719914
Belgium,BEL,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,1974,12.6778877513452
Belgium,BEL,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,1975,12.7681985920515
Belgium,BEL,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,1976,9.06860981054968
Belgium,BEL,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,1977,7.09600059132598
Belgium,BEL,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,1978,4.47059331592944
Belgium,BEL,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,1979,4.46908394900479
Belgium,BEL,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,1980,6.64868829655356
Belgium,BEL,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,1981,7.62748656814276
Belgium,BEL,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,1982,8.72654906555469
Belgium,BEL,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,1983,7.66160983743883
Belgium,BEL,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,1984,6.34177491009126
Belgium,BEL,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,1985,4.86873399496944
Belgium,BEL,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,1986,1.2943681910248
Belgium,BEL,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,1987,1.55338261314948
Belgium,BEL,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,1988,1.16093493415325
Belgium,BEL,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,1989,3.10705065111094
Belgium,BEL,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,1990,3.44831217961808
Belgium,BEL,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,1991,3.2153106926081
Belgium,BEL,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,1992,2.42795567164615
Belgium,BEL,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,1993,2.75442643473461
Belgium,BEL,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,1994,2.37754084476398
Belgium,BEL,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,1995,1.46796699090272
Belgium,BEL,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,1996,2.07702107350674
Belgium,BEL,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,1997,1.62816049512958
Belgium,BEL,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,1998,0.94925028835061
Belgium,BEL,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,1999,1.12084823417845
Belgium,BEL,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,2000,2.54451776190908
Belgium,BEL,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,2001,2.46925823086078
Belgium,BEL,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,2002,1.64521436175357
Belgium,BEL,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,2003,1.5889639997038
Belgium,BEL,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,2004,2.09728311239314
Belgium,BEL,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,2005,2.78143263670022
Belgium,BEL,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,2006,1.7912077007046
Belgium,BEL,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,2007,1.82305630026808
Belgium,BEL,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,2008,4.48944420508401
Belgium,BEL,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,2009,-0.0531456741253769
Belgium,BEL,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,2010,2.18929920422457
Belgium,BEL,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,2011,3.53208210722742
Belgium,BEL,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,2012,2.83966343445899
Belgium,BEL,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,2013,1.1130959402754
Belgium,BEL,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,2014,0.340002833356922
Belgium,BEL,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,2015,0.561429152790065
Belgium,BEL,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,2016,1.97385264653181
Belgium,BEL,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,2017,2.12597086002607
Belgium,BEL,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,2018,2.05316499865186
Belgium,BEL,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,2019,1.43681956996429
Belgium,BEL,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,2020,0.740791812220344
Belgium,BEL,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,2021,2.44024851144084
Belgium,BEL,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,2022,9.597511728725
Belgium,BEL,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,2023,4.04901077613941
Belgium,BEL,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,2024,3.14349136500041
