country,country_code,indicator,indicator_code,year,value
Belize,BLZ,"Labor force, total",SL.TLF.TOTL.IN,1990,56315.0
Belize,BLZ,"Labor force, total",SL.TLF.TOTL.IN,1991,58164.0
Belize,BLZ,"Labor force, total",SL.TLF.TOTL.IN,1992,60096.0
Belize,BLZ,"Labor force, total",SL.TLF.TOTL.IN,1993,61805.0
Belize,BLZ,"Labor force, total",SL.TLF.TOTL.IN,1994,63461.0
Belize,BLZ,"Labor force, total",SL.TLF.TOTL.IN,1995,66725.0
Belize,BLZ,"Labor force, total",SL.TLF.TOTL.IN,1996,70561.0
Belize,BLZ,"Labor force, total",SL.TLF.TOTL.IN,1997,74916.0
Belize,BLZ,"Labor force, total",SL.TLF.TOTL.IN,1998,78094.0
Belize,BLZ,"Labor force, total",SL.TLF.TOTL.IN,1999,82388.0
Belize,BLZ,"Labor force, total",SL.TLF.TOTL.IN,2000,86164.0
Belize,BLZ,"Labor force, total",SL.TLF.TOTL.IN,2001,89869.0
Belize,BLZ,"Labor force, total",SL.TLF.TOTL.IN,2002,93582.0
Belize,BLZ,"Labor force, total",SL.TLF.TOTL.IN,2003,97414.0
Belize,BLZ,"Labor force, total",SL.TLF.TOTL.IN,2004,101380.0
Belize,BLZ,"Labor force, total",SL.TLF.TOTL.IN,2005,105467.0
Belize,BLZ,"Labor force, total",SL.TLF.TOTL.IN,2006,109679.0
Belize,BLZ,"Labor force, total",SL.TLF.TOTL.IN,2007,114014.0
Belize,BLZ,"Labor force, total",SL.TLF.TOTL.IN,2008,118461.0
Belize,BLZ,"Labor force, total",SL.TLF.TOTL.IN,2009,123041.0
Belize,BLZ,"Labor force, total",SL.TLF.TOTL.IN,2010,127831.0
Belize,BLZ,"Labor force, total",SL.TLF.TOTL.IN,2011,132777.0
Belize,BLZ,"Labor force, total",SL.TLF.TOTL.IN,2012,137753.0
Belize,BLZ,"Labor force, total",SL.TLF.TOTL.IN,2013,142809.0
Belize,BLZ,"Labor force, total",SL.TLF.TOTL.IN,2014,149447.0
Belize,BLZ,"Labor force, total",SL.TLF.TOTL.IN,2015,155137.0
Belize,BLZ,"Labor force, total",SL.TLF.TOTL.IN,2016,161445.0
Belize,BLZ,"Labor force, total",SL.TLF.TOTL.IN,2017,166282.0
Belize,BLZ,"Labor force, total",SL.TLF.TOTL.IN,2018,178447.0
Belize,BLZ,"Labor force, total",SL.TLF.TOTL.IN,2019,189886.0
Belize,BLZ,"Labor force, total",SL.TLF.TOTL.IN,2020,179096.0
Belize,BLZ,"Labor force, total",SL.TLF.TOTL.IN,2021,175200.0
Belize,BLZ,"Labor force, total",SL.TLF.TOTL.IN,2022,180679.0
Belize,BLZ,"Labor force, total",SL.TLF.TOTL.IN,2023,186401.0
Belize,BLZ,"Labor force, total",SL.TLF.TOTL.IN,2024,189961.0
