country,country_code,indicator,indicator_code,year,value
Chile,CHL,Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,2000,7.00020742
Chile,CHL,Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,2001,7.09733105
Chile,CHL,Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,2002,7.20833778
Chile,CHL,Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,2003,7.25047779
Chile,CHL,Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,2004,6.91028595
Chile,CHL,Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,2005,6.62372065
Chile,CHL,Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,2006,6.07235622
Chile,CHL,Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,2007,6.21259642
Chile,CHL,Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,2008,6.73954487
Chile,CHL,Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,2009,7.25026846
Chile,CHL,Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,2010,6.81958389
Chile,CHL,Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,2011,6.79947519
Chile,CHL,Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,2012,7.01951265
Chile,CHL,Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,2013,7.47552681
Chile,CHL,Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,2014,7.84150171
Chile,CHL,Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,2015,8.3513937
Chile,CHL,Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,2016,8.55767059
Chile,CHL,Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,2017,9.090518
Chile,CHL,Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,2018,9.15040398
Chile,CHL,Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,2019,9.29919815
Chile,CHL,Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,2020,9.68910599
Chile,CHL,Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,2021,9.68593311
Chile,CHL,Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,2022,10.06172848
Chile,CHL,Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,2023,10.09532642
