country,country_code,indicator,indicator_code,year,value
Comoros,COM,Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,2000,7.52074909
Comoros,COM,Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,2001,6.66054344
Comoros,COM,Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,2002,6.68822765
Comoros,COM,Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,2003,6.66024828
Comoros,COM,Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,2004,6.58576155
Comoros,COM,Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,2005,6.12670708
Comoros,COM,Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,2006,5.77341843
Comoros,COM,Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,2007,5.41753864
Comoros,COM,Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,2008,5.06897497
Comoros,COM,Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,2009,4.92694378
Comoros,COM,Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,2010,4.99181557
Comoros,COM,Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,2011,5.3021183
Comoros,COM,Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,2012,5.17354631
Comoros,COM,Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,2013,5.10299301
Comoros,COM,Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,2014,5.23849726
Comoros,COM,Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,2015,4.60089922
Comoros,COM,Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,2016,4.65263557
Comoros,COM,Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,2017,5.26807451
Comoros,COM,Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,2018,4.90318584
Comoros,COM,Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,2019,5.18044472
Comoros,COM,Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,2020,5.902421
Comoros,COM,Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,2021,6.43369246
Comoros,COM,Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,2022,8.3803854
