country,country_code,indicator,indicator_code,year,value
"Congo, Rep.",COG,"Goods imports (BoP, current US$)",BM.GSR.MRCH.CD,1978,282057819.965369
"Congo, Rep.",COG,"Goods imports (BoP, current US$)",BM.GSR.MRCH.CD,1979,362957893.95445
"Congo, Rep.",COG,"Goods imports (BoP, current US$)",BM.GSR.MRCH.CD,1980,545206561.864919
"Congo, Rep.",COG,"Goods imports (BoP, current US$)",BM.GSR.MRCH.CD,1981,803594865.263371
"Congo, Rep.",COG,"Goods imports (BoP, current US$)",BM.GSR.MRCH.CD,1982,663824860.934152
"Congo, Rep.",COG,"Goods imports (BoP, current US$)",BM.GSR.MRCH.CD,1983,649512096.596307
"Congo, Rep.",COG,"Goods imports (BoP, current US$)",BM.GSR.MRCH.CD,1984,617589846.154044
"Congo, Rep.",COG,"Goods imports (BoP, current US$)",BM.GSR.MRCH.CD,1985,630054163.137644
"Congo, Rep.",COG,"Goods imports (BoP, current US$)",BM.GSR.MRCH.CD,1986,512414019.451092
"Congo, Rep.",COG,"Goods imports (BoP, current US$)",BM.GSR.MRCH.CD,1987,419912302.821293
"Congo, Rep.",COG,"Goods imports (BoP, current US$)",BM.GSR.MRCH.CD,1988,522722615.623279
"Congo, Rep.",COG,"Goods imports (BoP, current US$)",BM.GSR.MRCH.CD,1989,531961081.490405
"Congo, Rep.",COG,"Goods imports (BoP, current US$)",BM.GSR.MRCH.CD,1990,512736153.098815
"Congo, Rep.",COG,"Goods imports (BoP, current US$)",BM.GSR.MRCH.CD,1991,494493384.047313
"Congo, Rep.",COG,"Goods imports (BoP, current US$)",BM.GSR.MRCH.CD,1992,438245535.642064
"Congo, Rep.",COG,"Goods imports (BoP, current US$)",BM.GSR.MRCH.CD,1993,500066075.997838
"Congo, Rep.",COG,"Goods imports (BoP, current US$)",BM.GSR.MRCH.CD,1994,612746979.018655
"Congo, Rep.",COG,"Goods imports (BoP, current US$)",BM.GSR.MRCH.CD,1995,654168145.297447
"Congo, Rep.",COG,"Goods imports (BoP, current US$)",BM.GSR.MRCH.CD,1996,587159755.726289
"Congo, Rep.",COG,"Goods imports (BoP, current US$)",BM.GSR.MRCH.CD,1997,648843365.676384
"Congo, Rep.",COG,"Goods imports (BoP, current US$)",BM.GSR.MRCH.CD,1998,558433780.865591
"Congo, Rep.",COG,"Goods imports (BoP, current US$)",BM.GSR.MRCH.CD,1999,522843109.869778
"Congo, Rep.",COG,"Goods imports (BoP, current US$)",BM.GSR.MRCH.CD,2000,456409967.901112
"Congo, Rep.",COG,"Goods imports (BoP, current US$)",BM.GSR.MRCH.CD,2001,681943709.812504
"Congo, Rep.",COG,"Goods imports (BoP, current US$)",BM.GSR.MRCH.CD,2002,694407979.552222
"Congo, Rep.",COG,"Goods imports (BoP, current US$)",BM.GSR.MRCH.CD,2003,833078365.580333
"Congo, Rep.",COG,"Goods imports (BoP, current US$)",BM.GSR.MRCH.CD,2004,970724599.125746
"Congo, Rep.",COG,"Goods imports (BoP, current US$)",BM.GSR.MRCH.CD,2005,1306001096.95669
"Congo, Rep.",COG,"Goods imports (BoP, current US$)",BM.GSR.MRCH.CD,2006,2005261514.90023
"Congo, Rep.",COG,"Goods imports (BoP, current US$)",BM.GSR.MRCH.CD,2007,3659441306.34102
"Congo, Rep.",COG,"Goods imports (BoP, current US$)",BM.GSR.MRCH.CD,2008,3302412249.26425
"Congo, Rep.",COG,"Goods imports (BoP, current US$)",BM.GSR.MRCH.CD,2009,3642196371.42695
"Congo, Rep.",COG,"Goods imports (BoP, current US$)",BM.GSR.MRCH.CD,2010,3973506061.22049
"Congo, Rep.",COG,"Goods imports (BoP, current US$)",BM.GSR.MRCH.CD,2011,4183550661.80255
"Congo, Rep.",COG,"Goods imports (BoP, current US$)",BM.GSR.MRCH.CD,2012,4088349987.62245
"Congo, Rep.",COG,"Goods imports (BoP, current US$)",BM.GSR.MRCH.CD,2013,4285682551.22475
"Congo, Rep.",COG,"Goods imports (BoP, current US$)",BM.GSR.MRCH.CD,2014,5409821461.63691
"Congo, Rep.",COG,"Goods imports (BoP, current US$)",BM.GSR.MRCH.CD,2015,5789624954.44514
"Congo, Rep.",COG,"Goods imports (BoP, current US$)",BM.GSR.MRCH.CD,2016,5074492923.39256
"Congo, Rep.",COG,"Goods imports (BoP, current US$)",BM.GSR.MRCH.CD,2019,3281430040.9952
"Congo, Rep.",COG,"Goods imports (BoP, current US$)",BM.GSR.MRCH.CD,2020,2237300750.72649
"Congo, Rep.",COG,"Goods imports (BoP, current US$)",BM.GSR.MRCH.CD,2021,2779384566.79243
