country,country_code,indicator,indicator_code,year,value
Eritrea,ERI,Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,2000,5.76670074
Eritrea,ERI,Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,2001,5.91931677
Eritrea,ERI,Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,2002,6.68857431
Eritrea,ERI,Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,2003,7.33703375
Eritrea,ERI,Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,2004,7.00984907
Eritrea,ERI,Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,2005,6.8641758
Eritrea,ERI,Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,2006,6.85727453
Eritrea,ERI,Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,2007,5.2786293
Eritrea,ERI,Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,2008,6.57807541
Eritrea,ERI,Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,2009,5.42343187
Eritrea,ERI,Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,2010,4.81866503
Eritrea,ERI,Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,2011,5.1622901
Eritrea,ERI,Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,2012,3.74245787
Eritrea,ERI,Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,2013,4.96765137
Eritrea,ERI,Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,2014,3.91432285
Eritrea,ERI,Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,2015,4.50776815
Eritrea,ERI,Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,2016,3.73838949
Eritrea,ERI,Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,2017,4.15359449
Eritrea,ERI,Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,2018,4.24748898
Eritrea,ERI,Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,2019,4.64806461
Eritrea,ERI,Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,2020,4.31046677
Eritrea,ERI,Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,2021,4.17839003
Eritrea,ERI,Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,2022,3.87447667
