country,country_code,indicator,indicator_code,year,value
Germany,DEU,Tax revenue (% of GDP),GC.TAX.TOTL.GD.ZS,1972,10.7447372460267
Germany,DEU,Tax revenue (% of GDP),GC.TAX.TOTL.GD.ZS,1973,10.8795347401674
Germany,DEU,Tax revenue (% of GDP),GC.TAX.TOTL.GD.ZS,1974,10.4369869044173
Germany,DEU,Tax revenue (% of GDP),GC.TAX.TOTL.GD.ZS,1975,10.0082100578304
Germany,DEU,Tax revenue (% of GDP),GC.TAX.TOTL.GD.ZS,1976,10.133208586243
Germany,DEU,Tax revenue (% of GDP),GC.TAX.TOTL.GD.ZS,1977,10.4525700227949
Germany,DEU,Tax revenue (% of GDP),GC.TAX.TOTL.GD.ZS,1978,10.4549552861147
Germany,DEU,Tax revenue (% of GDP),GC.TAX.TOTL.GD.ZS,1979,10.3419883863164
Germany,DEU,Tax revenue (% of GDP),GC.TAX.TOTL.GD.ZS,1980,10.2450315018311
Germany,DEU,Tax revenue (% of GDP),GC.TAX.TOTL.GD.ZS,1981,10.0200259386562
Germany,DEU,Tax revenue (% of GDP),GC.TAX.TOTL.GD.ZS,1982,9.75867311270948
Germany,DEU,Tax revenue (% of GDP),GC.TAX.TOTL.GD.ZS,1983,9.71481031802017
Germany,DEU,Tax revenue (% of GDP),GC.TAX.TOTL.GD.ZS,1984,10.1536576327918
Germany,DEU,Tax revenue (% of GDP),GC.TAX.TOTL.GD.ZS,1985,10.1597578749204
Germany,DEU,Tax revenue (% of GDP),GC.TAX.TOTL.GD.ZS,1986,9.90160625351422
Germany,DEU,Tax revenue (% of GDP),GC.TAX.TOTL.GD.ZS,1987,10.0478215258496
Germany,DEU,Tax revenue (% of GDP),GC.TAX.TOTL.GD.ZS,1988,9.7806399941492
Germany,DEU,Tax revenue (% of GDP),GC.TAX.TOTL.GD.ZS,1989,10.213302792935
Germany,DEU,Tax revenue (% of GDP),GC.TAX.TOTL.GD.ZS,1990,9.79639199253197
Germany,DEU,Tax revenue (% of GDP),GC.TAX.TOTL.GD.ZS,1991,11.5872606982866
Germany,DEU,Tax revenue (% of GDP),GC.TAX.TOTL.GD.ZS,1992,11.700050880466
Germany,DEU,Tax revenue (% of GDP),GC.TAX.TOTL.GD.ZS,1993,11.4183937086733
Germany,DEU,Tax revenue (% of GDP),GC.TAX.TOTL.GD.ZS,1994,11.6240302064178
Germany,DEU,Tax revenue (% of GDP),GC.TAX.TOTL.GD.ZS,1995,11.444000568442
Germany,DEU,Tax revenue (% of GDP),GC.TAX.TOTL.GD.ZS,1996,10.8612643630481
Germany,DEU,Tax revenue (% of GDP),GC.TAX.TOTL.GD.ZS,1997,10.6964792240669
Germany,DEU,Tax revenue (% of GDP),GC.TAX.TOTL.GD.ZS,1998,10.7927073495161
Germany,DEU,Tax revenue (% of GDP),GC.TAX.TOTL.GD.ZS,1999,11.4101403785793
Germany,DEU,Tax revenue (% of GDP),GC.TAX.TOTL.GD.ZS,2000,11.5919442540124
Germany,DEU,Tax revenue (% of GDP),GC.TAX.TOTL.GD.ZS,2001,10.8469025702222
Germany,DEU,Tax revenue (% of GDP),GC.TAX.TOTL.GD.ZS,2002,10.7123003022453
Germany,DEU,Tax revenue (% of GDP),GC.TAX.TOTL.GD.ZS,2003,10.8550033246906
Germany,DEU,Tax revenue (% of GDP),GC.TAX.TOTL.GD.ZS,2004,10.2875222412169
Germany,DEU,Tax revenue (% of GDP),GC.TAX.TOTL.GD.ZS,2005,10.4854431549935
Germany,DEU,Tax revenue (% of GDP),GC.TAX.TOTL.GD.ZS,2006,10.6677987618396
Germany,DEU,Tax revenue (% of GDP),GC.TAX.TOTL.GD.ZS,2007,11.1438034473806
Germany,DEU,Tax revenue (% of GDP),GC.TAX.TOTL.GD.ZS,2008,11.2809690772605
Germany,DEU,Tax revenue (% of GDP),GC.TAX.TOTL.GD.ZS,2009,11.386164409368
Germany,DEU,Tax revenue (% of GDP),GC.TAX.TOTL.GD.ZS,2010,10.9693202755288
Germany,DEU,Tax revenue (% of GDP),GC.TAX.TOTL.GD.ZS,2011,11.2547082949694
Germany,DEU,Tax revenue (% of GDP),GC.TAX.TOTL.GD.ZS,2012,11.3944179004278
Germany,DEU,Tax revenue (% of GDP),GC.TAX.TOTL.GD.ZS,2013,11.3850059987166
Germany,DEU,Tax revenue (% of GDP),GC.TAX.TOTL.GD.ZS,2014,11.2604642281679
Germany,DEU,Tax revenue (% of GDP),GC.TAX.TOTL.GD.ZS,2015,11.257498420106
Germany,DEU,Tax revenue (% of GDP),GC.TAX.TOTL.GD.ZS,2016,11.0792181745935
Germany,DEU,Tax revenue (% of GDP),GC.TAX.TOTL.GD.ZS,2017,11.1999003335225
Germany,DEU,Tax revenue (% of GDP),GC.TAX.TOTL.GD.ZS,2018,11.2376680568792
Germany,DEU,Tax revenue (% of GDP),GC.TAX.TOTL.GD.ZS,2019,11.2143835151405
Germany,DEU,Tax revenue (% of GDP),GC.TAX.TOTL.GD.ZS,2020,10.4109728028015
Germany,DEU,Tax revenue (% of GDP),GC.TAX.TOTL.GD.ZS,2021,11.0225053448154
Germany,DEU,Tax revenue (% of GDP),GC.TAX.TOTL.GD.ZS,2022,11.0108628299
