country,country_code,indicator,indicator_code,year,value
Guyana,GUY,"Goods exports (BoP, current US$)",BX.GSR.MRCH.CD,1977,259333333.435033
Guyana,GUY,"Goods exports (BoP, current US$)",BX.GSR.MRCH.CD,1978,295607843.25318
Guyana,GUY,"Goods exports (BoP, current US$)",BX.GSR.MRCH.CD,1979,292705882.467728
Guyana,GUY,"Goods exports (BoP, current US$)",BX.GSR.MRCH.CD,1980,388862745.250534
Guyana,GUY,"Goods exports (BoP, current US$)",BX.GSR.MRCH.CD,1981,346417777.900949
Guyana,GUY,"Goods exports (BoP, current US$)",BX.GSR.MRCH.CD,1982,241433333.413811
Guyana,GUY,"Goods exports (BoP, current US$)",BX.GSR.MRCH.CD,1983,193333333.397778
Guyana,GUY,"Goods exports (BoP, current US$)",BX.GSR.MRCH.CD,1984,216882280.271508
Guyana,GUY,"Goods exports (BoP, current US$)",BX.GSR.MRCH.CD,1985,214024231.780679
Guyana,GUY,"Goods exports (BoP, current US$)",BX.GSR.MRCH.CD,1992,381700000.0
Guyana,GUY,"Goods exports (BoP, current US$)",BX.GSR.MRCH.CD,1993,415500000.0
Guyana,GUY,"Goods exports (BoP, current US$)",BX.GSR.MRCH.CD,1994,463400000.0
Guyana,GUY,"Goods exports (BoP, current US$)",BX.GSR.MRCH.CD,1995,495700000.0
Guyana,GUY,"Goods exports (BoP, current US$)",BX.GSR.MRCH.CD,1996,572300000.0
Guyana,GUY,"Goods exports (BoP, current US$)",BX.GSR.MRCH.CD,1997,590600000.0
Guyana,GUY,"Goods exports (BoP, current US$)",BX.GSR.MRCH.CD,1998,545100000.0
Guyana,GUY,"Goods exports (BoP, current US$)",BX.GSR.MRCH.CD,1999,522300000.0
Guyana,GUY,"Goods exports (BoP, current US$)",BX.GSR.MRCH.CD,2000,502900000.0
Guyana,GUY,"Goods exports (BoP, current US$)",BX.GSR.MRCH.CD,2001,485400000.0
Guyana,GUY,"Goods exports (BoP, current US$)",BX.GSR.MRCH.CD,2002,490100000.0
Guyana,GUY,"Goods exports (BoP, current US$)",BX.GSR.MRCH.CD,2003,508000000.0
Guyana,GUY,"Goods exports (BoP, current US$)",BX.GSR.MRCH.CD,2004,583994000.0
Guyana,GUY,"Goods exports (BoP, current US$)",BX.GSR.MRCH.CD,2005,545631000.0
Guyana,GUY,"Goods exports (BoP, current US$)",BX.GSR.MRCH.CD,2006,579602000.0
Guyana,GUY,"Goods exports (BoP, current US$)",BX.GSR.MRCH.CD,2007,674881000.0
Guyana,GUY,"Goods exports (BoP, current US$)",BX.GSR.MRCH.CD,2008,801519876.9
Guyana,GUY,"Goods exports (BoP, current US$)",BX.GSR.MRCH.CD,2009,768183772.6
Guyana,GUY,"Goods exports (BoP, current US$)",BX.GSR.MRCH.CD,2010,884979901.0
Guyana,GUY,"Goods exports (BoP, current US$)",BX.GSR.MRCH.CD,2011,1129076608.52
Guyana,GUY,"Goods exports (BoP, current US$)",BX.GSR.MRCH.CD,2012,1415453833.14
Guyana,GUY,"Goods exports (BoP, current US$)",BX.GSR.MRCH.CD,2013,1375114817.74
Guyana,GUY,"Goods exports (BoP, current US$)",BX.GSR.MRCH.CD,2014,1167188505.31007
Guyana,GUY,"Goods exports (BoP, current US$)",BX.GSR.MRCH.CD,2015,1151257152.43
Guyana,GUY,"Goods exports (BoP, current US$)",BX.GSR.MRCH.CD,2016,1434405435.31271
Guyana,GUY,"Goods exports (BoP, current US$)",BX.GSR.MRCH.CD,2017,1437329894.2146
Guyana,GUY,"Goods exports (BoP, current US$)",BX.GSR.MRCH.CD,2018,1377136300.18852
Guyana,GUY,"Goods exports (BoP, current US$)",BX.GSR.MRCH.CD,2019,1567001510.22061
Guyana,GUY,"Goods exports (BoP, current US$)",BX.GSR.MRCH.CD,2020,2589953959.72523
Guyana,GUY,"Goods exports (BoP, current US$)",BX.GSR.MRCH.CD,2021,4355912633.35234
Guyana,GUY,"Goods exports (BoP, current US$)",BX.GSR.MRCH.CD,2022,11280422542.3649
Guyana,GUY,"Goods exports (BoP, current US$)",BX.GSR.MRCH.CD,2023,13210200501.6153
