country,country_code,indicator,indicator_code,year,value
Haiti,HTI,"Goods exports (BoP, current US$)",BX.GSR.MRCH.CD,1971,45300000.00906
Haiti,HTI,"Goods exports (BoP, current US$)",BX.GSR.MRCH.CD,1972,42879841.9894152
Haiti,HTI,"Goods exports (BoP, current US$)",BX.GSR.MRCH.CD,1973,54399999.963494
Haiti,HTI,"Goods exports (BoP, current US$)",BX.GSR.MRCH.CD,1974,70039941.9243928
Haiti,HTI,"Goods exports (BoP, current US$)",BX.GSR.MRCH.CD,1975,80340000.016068
Haiti,HTI,"Goods exports (BoP, current US$)",BX.GSR.MRCH.CD,1976,111940000.022388
Haiti,HTI,"Goods exports (BoP, current US$)",BX.GSR.MRCH.CD,1977,137640000.027528
Haiti,HTI,"Goods exports (BoP, current US$)",BX.GSR.MRCH.CD,1978,149920000.029984
Haiti,HTI,"Goods exports (BoP, current US$)",BX.GSR.MRCH.CD,1979,137980000.027596
Haiti,HTI,"Goods exports (BoP, current US$)",BX.GSR.MRCH.CD,1980,215800000.04316
Haiti,HTI,"Goods exports (BoP, current US$)",BX.GSR.MRCH.CD,1981,151120000.030224
Haiti,HTI,"Goods exports (BoP, current US$)",BX.GSR.MRCH.CD,1982,177140000.035428
Haiti,HTI,"Goods exports (BoP, current US$)",BX.GSR.MRCH.CD,1983,186560000.037312
Haiti,HTI,"Goods exports (BoP, current US$)",BX.GSR.MRCH.CD,1984,214580000.017882
Haiti,HTI,"Goods exports (BoP, current US$)",BX.GSR.MRCH.CD,1985,223000000.0
Haiti,HTI,"Goods exports (BoP, current US$)",BX.GSR.MRCH.CD,1986,190780000.0
Haiti,HTI,"Goods exports (BoP, current US$)",BX.GSR.MRCH.CD,1987,210120000.0
Haiti,HTI,"Goods exports (BoP, current US$)",BX.GSR.MRCH.CD,1988,180380000.0
Haiti,HTI,"Goods exports (BoP, current US$)",BX.GSR.MRCH.CD,1989,148260000.0
Haiti,HTI,"Goods exports (BoP, current US$)",BX.GSR.MRCH.CD,1990,265800000.0
Haiti,HTI,"Goods exports (BoP, current US$)",BX.GSR.MRCH.CD,1991,166580000.0
Haiti,HTI,"Goods exports (BoP, current US$)",BX.GSR.MRCH.CD,1992,73400000.0
Haiti,HTI,"Goods exports (BoP, current US$)",BX.GSR.MRCH.CD,1993,80270000.0
Haiti,HTI,"Goods exports (BoP, current US$)",BX.GSR.MRCH.CD,1994,60290000.0
Haiti,HTI,"Goods exports (BoP, current US$)",BX.GSR.MRCH.CD,1995,88300000.0
Haiti,HTI,"Goods exports (BoP, current US$)",BX.GSR.MRCH.CD,1996,82520000.0
Haiti,HTI,"Goods exports (BoP, current US$)",BX.GSR.MRCH.CD,1997,205400000.0
Haiti,HTI,"Goods exports (BoP, current US$)",BX.GSR.MRCH.CD,1998,294770000.0
Haiti,HTI,"Goods exports (BoP, current US$)",BX.GSR.MRCH.CD,1999,343260000.0
Haiti,HTI,"Goods exports (BoP, current US$)",BX.GSR.MRCH.CD,2000,331700000.0
Haiti,HTI,"Goods exports (BoP, current US$)",BX.GSR.MRCH.CD,2001,305220000.0
Haiti,HTI,"Goods exports (BoP, current US$)",BX.GSR.MRCH.CD,2002,274430000.0
Haiti,HTI,"Goods exports (BoP, current US$)",BX.GSR.MRCH.CD,2003,333830000.0
Haiti,HTI,"Goods exports (BoP, current US$)",BX.GSR.MRCH.CD,2004,376860000.0
Haiti,HTI,"Goods exports (BoP, current US$)",BX.GSR.MRCH.CD,2005,459620000.0
Haiti,HTI,"Goods exports (BoP, current US$)",BX.GSR.MRCH.CD,2006,495180000.0
Haiti,HTI,"Goods exports (BoP, current US$)",BX.GSR.MRCH.CD,2007,522080000.0
Haiti,HTI,"Goods exports (BoP, current US$)",BX.GSR.MRCH.CD,2008,490196880.686743
Haiti,HTI,"Goods exports (BoP, current US$)",BX.GSR.MRCH.CD,2009,550996460.740857
Haiti,HTI,"Goods exports (BoP, current US$)",BX.GSR.MRCH.CD,2010,563381980.892499
Haiti,HTI,"Goods exports (BoP, current US$)",BX.GSR.MRCH.CD,2011,768085376.539295
Haiti,HTI,"Goods exports (BoP, current US$)",BX.GSR.MRCH.CD,2012,778844547.422123
Haiti,HTI,"Goods exports (BoP, current US$)",BX.GSR.MRCH.CD,2013,914907901.429515
Haiti,HTI,"Goods exports (BoP, current US$)",BX.GSR.MRCH.CD,2014,960929834.11938
Haiti,HTI,"Goods exports (BoP, current US$)",BX.GSR.MRCH.CD,2015,1024284731.50087
Haiti,HTI,"Goods exports (BoP, current US$)",BX.GSR.MRCH.CD,2016,1007447319.56118
Haiti,HTI,"Goods exports (BoP, current US$)",BX.GSR.MRCH.CD,2017,991398484.21463
Haiti,HTI,"Goods exports (BoP, current US$)",BX.GSR.MRCH.CD,2018,1078376513.9967
Haiti,HTI,"Goods exports (BoP, current US$)",BX.GSR.MRCH.CD,2019,1201776090.59345
Haiti,HTI,"Goods exports (BoP, current US$)",BX.GSR.MRCH.CD,2020,885315743.606571
Haiti,HTI,"Goods exports (BoP, current US$)",BX.GSR.MRCH.CD,2021,1130223475.50098
Haiti,HTI,"Goods exports (BoP, current US$)",BX.GSR.MRCH.CD,2022,1253855360.31517
Haiti,HTI,"Goods exports (BoP, current US$)",BX.GSR.MRCH.CD,2023,955687262.767272
