country,country_code,indicator,indicator_code,year,value
Iraq,IRQ,"Labor force, total",SL.TLF.TOTL.IN,1990,4129531.0
Iraq,IRQ,"Labor force, total",SL.TLF.TOTL.IN,1991,4181208.0
Iraq,IRQ,"Labor force, total",SL.TLF.TOTL.IN,1992,4296038.0
Iraq,IRQ,"Labor force, total",SL.TLF.TOTL.IN,1993,4516860.0
Iraq,IRQ,"Labor force, total",SL.TLF.TOTL.IN,1994,4746781.0
Iraq,IRQ,"Labor force, total",SL.TLF.TOTL.IN,1995,4913690.0
Iraq,IRQ,"Labor force, total",SL.TLF.TOTL.IN,1996,5082009.0
Iraq,IRQ,"Labor force, total",SL.TLF.TOTL.IN,1997,5236951.0
Iraq,IRQ,"Labor force, total",SL.TLF.TOTL.IN,1998,5410748.0
Iraq,IRQ,"Labor force, total",SL.TLF.TOTL.IN,1999,5596021.0
Iraq,IRQ,"Labor force, total",SL.TLF.TOTL.IN,2000,5790991.0
Iraq,IRQ,"Labor force, total",SL.TLF.TOTL.IN,2001,5984596.0
Iraq,IRQ,"Labor force, total",SL.TLF.TOTL.IN,2002,6189221.0
Iraq,IRQ,"Labor force, total",SL.TLF.TOTL.IN,2003,6393346.0
Iraq,IRQ,"Labor force, total",SL.TLF.TOTL.IN,2004,6595764.0
Iraq,IRQ,"Labor force, total",SL.TLF.TOTL.IN,2005,6816308.0
Iraq,IRQ,"Labor force, total",SL.TLF.TOTL.IN,2006,6891044.0
Iraq,IRQ,"Labor force, total",SL.TLF.TOTL.IN,2007,6861334.0
Iraq,IRQ,"Labor force, total",SL.TLF.TOTL.IN,2008,7012236.0
Iraq,IRQ,"Labor force, total",SL.TLF.TOTL.IN,2009,7285510.0
Iraq,IRQ,"Labor force, total",SL.TLF.TOTL.IN,2010,7529671.0
Iraq,IRQ,"Labor force, total",SL.TLF.TOTL.IN,2011,7794521.0
Iraq,IRQ,"Labor force, total",SL.TLF.TOTL.IN,2012,8145115.0
Iraq,IRQ,"Labor force, total",SL.TLF.TOTL.IN,2013,8762436.0
Iraq,IRQ,"Labor force, total",SL.TLF.TOTL.IN,2014,9317273.0
Iraq,IRQ,"Labor force, total",SL.TLF.TOTL.IN,2015,9638775.0
Iraq,IRQ,"Labor force, total",SL.TLF.TOTL.IN,2016,9946993.0
Iraq,IRQ,"Labor force, total",SL.TLF.TOTL.IN,2017,9932205.0
Iraq,IRQ,"Labor force, total",SL.TLF.TOTL.IN,2018,10197561.0
Iraq,IRQ,"Labor force, total",SL.TLF.TOTL.IN,2019,10439724.0
Iraq,IRQ,"Labor force, total",SL.TLF.TOTL.IN,2020,10284906.0
Iraq,IRQ,"Labor force, total",SL.TLF.TOTL.IN,2021,10581037.0
Iraq,IRQ,"Labor force, total",SL.TLF.TOTL.IN,2022,11326035.0
Iraq,IRQ,"Labor force, total",SL.TLF.TOTL.IN,2023,11685283.0
Iraq,IRQ,"Labor force, total",SL.TLF.TOTL.IN,2024,12008181.0
