country,country_code,indicator,indicator_code,year,value
Israel,ISR,GDP (current US$),NY.GDP.MKTP.CD,1960,3070585807.33625
Israel,ISR,GDP (current US$),NY.GDP.MKTP.CD,1961,3708586471.46387
Israel,ISR,GDP (current US$),NY.GDP.MKTP.CD,1962,2966154031.33123
Israel,ISR,GDP (current US$),NY.GDP.MKTP.CD,1963,3535949088.90947
Israel,ISR,GDP (current US$),NY.GDP.MKTP.CD,1964,4024344852.54797
Israel,ISR,GDP (current US$),NY.GDP.MKTP.CD,1965,4329084428.62583
Israel,ISR,GDP (current US$),NY.GDP.MKTP.CD,1966,4703300098.0703
Israel,ISR,GDP (current US$),NY.GDP.MKTP.CD,1967,4762386782.7194
Israel,ISR,GDP (current US$),NY.GDP.MKTP.CD,1968,5458427927.8861
Israel,ISR,GDP (current US$),NY.GDP.MKTP.CD,1969,6297852761.13463
Israel,ISR,GDP (current US$),NY.GDP.MKTP.CD,1970,7406712876.3832
Israel,ISR,GDP (current US$),NY.GDP.MKTP.CD,1971,7052544000.09352
Israel,ISR,GDP (current US$),NY.GDP.MKTP.CD,1972,9222557538.58382
Israel,ISR,GDP (current US$),NY.GDP.MKTP.CD,1973,11902574258.9313
Israel,ISR,GDP (current US$),NY.GDP.MKTP.CD,1974,17172607138.122
Israel,ISR,GDP (current US$),NY.GDP.MKTP.CD,1975,16141767373.4859
Israel,ISR,GDP (current US$),NY.GDP.MKTP.CD,1976,15956349550.0166
Israel,ISR,GDP (current US$),NY.GDP.MKTP.CD,1977,18257113904.2478
Israel,ISR,GDP (current US$),NY.GDP.MKTP.CD,1978,17701286907.0888
Israel,ISR,GDP (current US$),NY.GDP.MKTP.CD,1979,22609741059.839
Israel,ISR,GDP (current US$),NY.GDP.MKTP.CD,1980,25395256477.5976
Israel,ISR,GDP (current US$),NY.GDP.MKTP.CD,1981,26882009819.3456
Israel,ISR,GDP (current US$),NY.GDP.MKTP.CD,1982,29255285401.3621
Israel,ISR,GDP (current US$),NY.GDP.MKTP.CD,1983,32675755462.0865
Israel,ISR,GDP (current US$),NY.GDP.MKTP.CD,1984,30645607293.0048
Israel,ISR,GDP (current US$),NY.GDP.MKTP.CD,1985,28905736366.7079
Israel,ISR,GDP (current US$),NY.GDP.MKTP.CD,1986,35834154873.5622
Israel,ISR,GDP (current US$),NY.GDP.MKTP.CD,1987,43049543634.9607
Israel,ISR,GDP (current US$),NY.GDP.MKTP.CD,1988,52650948910.3748
Israel,ISR,GDP (current US$),NY.GDP.MKTP.CD,1989,52443479454.114
Israel,ISR,GDP (current US$),NY.GDP.MKTP.CD,1990,62016729540.7093
Israel,ISR,GDP (current US$),NY.GDP.MKTP.CD,1991,70998755006.9019
Israel,ISR,GDP (current US$),NY.GDP.MKTP.CD,1992,79457685757.166
Israel,ISR,GDP (current US$),NY.GDP.MKTP.CD,1993,79855877174.4429
Israel,ISR,GDP (current US$),NY.GDP.MKTP.CD,1994,90740103828.6058
Israel,ISR,GDP (current US$),NY.GDP.MKTP.CD,1995,105497418058.646
Israel,ISR,GDP (current US$),NY.GDP.MKTP.CD,1996,115116595544.694
Israel,ISR,GDP (current US$),NY.GDP.MKTP.CD,1997,119459826346.611
Israel,ISR,GDP (current US$),NY.GDP.MKTP.CD,1998,120547409278.703
Israel,ISR,GDP (current US$),NY.GDP.MKTP.CD,1999,121417185061.719
Israel,ISR,GDP (current US$),NY.GDP.MKTP.CD,2000,136512300542.025
Israel,ISR,GDP (current US$),NY.GDP.MKTP.CD,2001,135002039612.906
Israel,ISR,GDP (current US$),NY.GDP.MKTP.CD,2002,125332331883.997
Israel,ISR,GDP (current US$),NY.GDP.MKTP.CD,2003,131408914824.005
Israel,ISR,GDP (current US$),NY.GDP.MKTP.CD,2004,140047984605.087
Israel,ISR,GDP (current US$),NY.GDP.MKTP.CD,2005,147519922009.047
Israel,ISR,GDP (current US$),NY.GDP.MKTP.CD,2006,158900547825.306
Israel,ISR,GDP (current US$),NY.GDP.MKTP.CD,2007,184681214673.45
Israel,ISR,GDP (current US$),NY.GDP.MKTP.CD,2008,221231658862.876
Israel,ISR,GDP (current US$),NY.GDP.MKTP.CD,2009,213403181852.86
Israel,ISR,GDP (current US$),NY.GDP.MKTP.CD,2010,239679036634.372
Israel,ISR,GDP (current US$),NY.GDP.MKTP.CD,2011,268094998225.028
Israel,ISR,GDP (current US$),NY.GDP.MKTP.CD,2012,263589172712.391
Israel,ISR,GDP (current US$),NY.GDP.MKTP.CD,2013,298478070673.058
Israel,ISR,GDP (current US$),NY.GDP.MKTP.CD,2014,315017088116.716
Israel,ISR,GDP (current US$),NY.GDP.MKTP.CD,2015,303469434072.296
Israel,ISR,GDP (current US$),NY.GDP.MKTP.CD,2016,321940971558.016
Israel,ISR,GDP (current US$),NY.GDP.MKTP.CD,2017,358451839052.991
Israel,ISR,GDP (current US$),NY.GDP.MKTP.CD,2018,376299083108.497
Israel,ISR,GDP (current US$),NY.GDP.MKTP.CD,2019,400645216358.857
Israel,ISR,GDP (current US$),NY.GDP.MKTP.CD,2020,410768352657.612
Israel,ISR,GDP (current US$),NY.GDP.MKTP.CD,2021,489851549972.347
Israel,ISR,GDP (current US$),NY.GDP.MKTP.CD,2022,525181008025.57
Israel,ISR,GDP (current US$),NY.GDP.MKTP.CD,2023,512184638998.974
Israel,ISR,GDP (current US$),NY.GDP.MKTP.CD,2024,540379921261.681
