country,country_code,indicator,indicator_code,year,value
Jordan,JOR,"Current account balance (BoP, current US$)",BN.CAB.XOKA.CD,1972,6439992.89276189
Jordan,JOR,"Current account balance (BoP, current US$)",BN.CAB.XOKA.CD,1973,12478282.1604176
Jordan,JOR,"Current account balance (BoP, current US$)",BN.CAB.XOKA.CD,1974,3415176.84949474
Jordan,JOR,"Current account balance (BoP, current US$)",BN.CAB.XOKA.CD,1975,44716612.5176806
Jordan,JOR,"Current account balance (BoP, current US$)",BN.CAB.XOKA.CD,1976,36146393.0000896
Jordan,JOR,"Current account balance (BoP, current US$)",BN.CAB.XOKA.CD,1977,-16488056.4156152
Jordan,JOR,"Current account balance (BoP, current US$)",BN.CAB.XOKA.CD,1978,-288441286.434129
Jordan,JOR,"Current account balance (BoP, current US$)",BN.CAB.XOKA.CD,1979,-6467727.71633136
Jordan,JOR,"Current account balance (BoP, current US$)",BN.CAB.XOKA.CD,1980,373904638.953551
Jordan,JOR,"Current account balance (BoP, current US$)",BN.CAB.XOKA.CD,1981,-38922616.6746466
Jordan,JOR,"Current account balance (BoP, current US$)",BN.CAB.XOKA.CD,1982,-332711821.102898
Jordan,JOR,"Current account balance (BoP, current US$)",BN.CAB.XOKA.CD,1983,-390679533.37933
Jordan,JOR,"Current account balance (BoP, current US$)",BN.CAB.XOKA.CD,1984,-264744680.64501
Jordan,JOR,"Current account balance (BoP, current US$)",BN.CAB.XOKA.CD,1985,-260474547.00274
Jordan,JOR,"Current account balance (BoP, current US$)",BN.CAB.XOKA.CD,1986,-39758700.704593
Jordan,JOR,"Current account balance (BoP, current US$)",BN.CAB.XOKA.CD,1987,-351817386.580357
Jordan,JOR,"Current account balance (BoP, current US$)",BN.CAB.XOKA.CD,1988,-293726235.475038
Jordan,JOR,"Current account balance (BoP, current US$)",BN.CAB.XOKA.CD,1989,384911700.483392
Jordan,JOR,"Current account balance (BoP, current US$)",BN.CAB.XOKA.CD,1990,-227133951.372703
Jordan,JOR,"Current account balance (BoP, current US$)",BN.CAB.XOKA.CD,1991,-393540845.37204
Jordan,JOR,"Current account balance (BoP, current US$)",BN.CAB.XOKA.CD,1992,-835222713.009125
Jordan,JOR,"Current account balance (BoP, current US$)",BN.CAB.XOKA.CD,1993,-629090658.820084
Jordan,JOR,"Current account balance (BoP, current US$)",BN.CAB.XOKA.CD,1994,-397985562.171468
Jordan,JOR,"Current account balance (BoP, current US$)",BN.CAB.XOKA.CD,1995,-258624042.059822
Jordan,JOR,"Current account balance (BoP, current US$)",BN.CAB.XOKA.CD,1996,-221861777.150917
Jordan,JOR,"Current account balance (BoP, current US$)",BN.CAB.XOKA.CD,1997,29337094.4992948
Jordan,JOR,"Current account balance (BoP, current US$)",BN.CAB.XOKA.CD,1998,14104372.3554302
Jordan,JOR,"Current account balance (BoP, current US$)",BN.CAB.XOKA.CD,1999,404936530.3244
Jordan,JOR,"Current account balance (BoP, current US$)",BN.CAB.XOKA.CD,2000,27581390.0141045
Jordan,JOR,"Current account balance (BoP, current US$)",BN.CAB.XOKA.CD,2001,-24030934.3911123
Jordan,JOR,"Current account balance (BoP, current US$)",BN.CAB.XOKA.CD,2002,501306213.6274
Jordan,JOR,"Current account balance (BoP, current US$)",BN.CAB.XOKA.CD,2003,1198530228.39464
Jordan,JOR,"Current account balance (BoP, current US$)",BN.CAB.XOKA.CD,2004,39195475.2543019
Jordan,JOR,"Current account balance (BoP, current US$)",BN.CAB.XOKA.CD,2005,-2271235044.85495
Jordan,JOR,"Current account balance (BoP, current US$)",BN.CAB.XOKA.CD,2006,-1725938857.0131
Jordan,JOR,"Current account balance (BoP, current US$)",BN.CAB.XOKA.CD,2007,-2874692559.87622
Jordan,JOR,"Current account balance (BoP, current US$)",BN.CAB.XOKA.CD,2008,-2054052822.6192
Jordan,JOR,"Current account balance (BoP, current US$)",BN.CAB.XOKA.CD,2009,-1243195602.74394
Jordan,JOR,"Current account balance (BoP, current US$)",BN.CAB.XOKA.CD,2010,-1881948409.49804
Jordan,JOR,"Current account balance (BoP, current US$)",BN.CAB.XOKA.CD,2011,-2956017204.22535
Jordan,JOR,"Current account balance (BoP, current US$)",BN.CAB.XOKA.CD,2012,-4711237323.94366
Jordan,JOR,"Current account balance (BoP, current US$)",BN.CAB.XOKA.CD,2013,-3503873260.38013
Jordan,JOR,"Current account balance (BoP, current US$)",BN.CAB.XOKA.CD,2014,-2608028169.01409
Jordan,JOR,"Current account balance (BoP, current US$)",BN.CAB.XOKA.CD,2015,-3469788732.39437
Jordan,JOR,"Current account balance (BoP, current US$)",BN.CAB.XOKA.CD,2016,-3851830985.91549
Jordan,JOR,"Current account balance (BoP, current US$)",BN.CAB.XOKA.CD,2017,-4392816901.40845
Jordan,JOR,"Current account balance (BoP, current US$)",BN.CAB.XOKA.CD,2018,-2962760563.38028
Jordan,JOR,"Current account balance (BoP, current US$)",BN.CAB.XOKA.CD,2019,-772845070.422535
Jordan,JOR,"Current account balance (BoP, current US$)",BN.CAB.XOKA.CD,2020,-2505005633.80282
Jordan,JOR,"Current account balance (BoP, current US$)",BN.CAB.XOKA.CD,2021,-3717605633.80282
Jordan,JOR,"Current account balance (BoP, current US$)",BN.CAB.XOKA.CD,2022,-3815070422.53521
Jordan,JOR,"Current account balance (BoP, current US$)",BN.CAB.XOKA.CD,2023,-1910422535.21127
