country,country_code,indicator,indicator_code,year,value
Kiribati,KIR,GDP (current US$),NY.GDP.MKTP.CD,1970,11560877.2811451
Kiribati,KIR,GDP (current US$),NY.GDP.MKTP.CD,1971,12356134.3838676
Kiribati,KIR,GDP (current US$),NY.GDP.MKTP.CD,1972,15314346.4925323
Kiribati,KIR,GDP (current US$),NY.GDP.MKTP.CD,1973,25645040.4712955
Kiribati,KIR,GDP (current US$),NY.GDP.MKTP.CD,1974,69256488.5160763
Kiribati,KIR,GDP (current US$),NY.GDP.MKTP.CD,1975,44547453.6024265
Kiribati,KIR,GDP (current US$),NY.GDP.MKTP.CD,1976,33246816.5018414
Kiribati,KIR,GDP (current US$),NY.GDP.MKTP.CD,1977,31335458.7039851
Kiribati,KIR,GDP (current US$),NY.GDP.MKTP.CD,1978,36563964.5510014
Kiribati,KIR,GDP (current US$),NY.GDP.MKTP.CD,1979,34466197.0333233
Kiribati,KIR,GDP (current US$),NY.GDP.MKTP.CD,1980,33157723.1094117
Kiribati,KIR,GDP (current US$),NY.GDP.MKTP.CD,1981,35267489.2425442
Kiribati,KIR,GDP (current US$),NY.GDP.MKTP.CD,1982,32742712.6527597
Kiribati,KIR,GDP (current US$),NY.GDP.MKTP.CD,1983,31000545.7710517
Kiribati,KIR,GDP (current US$),NY.GDP.MKTP.CD,1984,34394167.0416706
Kiribati,KIR,GDP (current US$),NY.GDP.MKTP.CD,1985,26126615.2284866
Kiribati,KIR,GDP (current US$),NY.GDP.MKTP.CD,1986,25993008.7943576
Kiribati,KIR,GDP (current US$),NY.GDP.MKTP.CD,1987,29554412.5328693
Kiribati,KIR,GDP (current US$),NY.GDP.MKTP.CD,1988,38278810.3176488
Kiribati,KIR,GDP (current US$),NY.GDP.MKTP.CD,1989,37645319.1994276
Kiribati,KIR,GDP (current US$),NY.GDP.MKTP.CD,1990,36534294.7991591
Kiribati,KIR,GDP (current US$),NY.GDP.MKTP.CD,1991,41247791.6364169
Kiribati,KIR,GDP (current US$),NY.GDP.MKTP.CD,1992,61491369.281929
Kiribati,KIR,GDP (current US$),NY.GDP.MKTP.CD,1993,58953595.9090414
Kiribati,KIR,GDP (current US$),NY.GDP.MKTP.CD,1994,67055333.9021503
Kiribati,KIR,GDP (current US$),NY.GDP.MKTP.CD,1995,68596394.6026524
Kiribati,KIR,GDP (current US$),NY.GDP.MKTP.CD,1996,81456854.1385109
Kiribati,KIR,GDP (current US$),NY.GDP.MKTP.CD,1997,80205806.8250976
Kiribati,KIR,GDP (current US$),NY.GDP.MKTP.CD,1998,74905705.8928477
Kiribati,KIR,GDP (current US$),NY.GDP.MKTP.CD,1999,77323978.1928449
Kiribati,KIR,GDP (current US$),NY.GDP.MKTP.CD,2000,74910527.2586758
Kiribati,KIR,GDP (current US$),NY.GDP.MKTP.CD,2001,64935850.1573877
Kiribati,KIR,GDP (current US$),NY.GDP.MKTP.CD,2002,74743869.1313473
Kiribati,KIR,GDP (current US$),NY.GDP.MKTP.CD,2003,96105619.3795504
Kiribati,KIR,GDP (current US$),NY.GDP.MKTP.CD,2004,104085892.133271
Kiribati,KIR,GDP (current US$),NY.GDP.MKTP.CD,2005,113895437.324786
Kiribati,KIR,GDP (current US$),NY.GDP.MKTP.CD,2006,112338353.264712
Kiribati,KIR,GDP (current US$),NY.GDP.MKTP.CD,2007,138054945.643442
Kiribati,KIR,GDP (current US$),NY.GDP.MKTP.CD,2008,147017894.97877
Kiribati,KIR,GDP (current US$),NY.GDP.MKTP.CD,2009,140177384.145395
Kiribati,KIR,GDP (current US$),NY.GDP.MKTP.CD,2010,165458433.127645
Kiribati,KIR,GDP (current US$),NY.GDP.MKTP.CD,2011,195970140.170383
Kiribati,KIR,GDP (current US$),NY.GDP.MKTP.CD,2012,207001545.867109
Kiribati,KIR,GDP (current US$),NY.GDP.MKTP.CD,2013,201730860.757856
Kiribati,KIR,GDP (current US$),NY.GDP.MKTP.CD,2014,200287281.98074
Kiribati,KIR,GDP (current US$),NY.GDP.MKTP.CD,2015,191559398.688293
Kiribati,KIR,GDP (current US$),NY.GDP.MKTP.CD,2016,206467818.503227
Kiribati,KIR,GDP (current US$),NY.GDP.MKTP.CD,2017,222875736.343445
Kiribati,KIR,GDP (current US$),NY.GDP.MKTP.CD,2018,233514717.441266
Kiribati,KIR,GDP (current US$),NY.GDP.MKTP.CD,2019,216985388.322754
Kiribati,KIR,GDP (current US$),NY.GDP.MKTP.CD,2020,220897998.732518
Kiribati,KIR,GDP (current US$),NY.GDP.MKTP.CD,2021,285259893.983064
Kiribati,KIR,GDP (current US$),NY.GDP.MKTP.CD,2022,270040456.961045
Kiribati,KIR,GDP (current US$),NY.GDP.MKTP.CD,2023,288610732.190775
Kiribati,KIR,GDP (current US$),NY.GDP.MKTP.CD,2024,307862546.789627
