country,country_code,indicator,indicator_code,year,value
Kosovo,XKX,"Goods exports (BoP, current US$)",BX.GSR.MRCH.CD,2004,76189033.099938
Kosovo,XKX,"Goods exports (BoP, current US$)",BX.GSR.MRCH.CD,2005,79656236.3189136
Kosovo,XKX,"Goods exports (BoP, current US$)",BX.GSR.MRCH.CD,2006,123704769.795927
Kosovo,XKX,"Goods exports (BoP, current US$)",BX.GSR.MRCH.CD,2007,181791062.472547
Kosovo,XKX,"Goods exports (BoP, current US$)",BX.GSR.MRCH.CD,2008,176382092.082093
Kosovo,XKX,"Goods exports (BoP, current US$)",BX.GSR.MRCH.CD,2009,243192912.129027
Kosovo,XKX,"Goods exports (BoP, current US$)",BX.GSR.MRCH.CD,2010,394854702.213198
Kosovo,XKX,"Goods exports (BoP, current US$)",BX.GSR.MRCH.CD,2011,441516474.601507
Kosovo,XKX,"Goods exports (BoP, current US$)",BX.GSR.MRCH.CD,2012,361938253.546288
Kosovo,XKX,"Goods exports (BoP, current US$)",BX.GSR.MRCH.CD,2013,386851034.157671
Kosovo,XKX,"Goods exports (BoP, current US$)",BX.GSR.MRCH.CD,2014,429682281.196521
Kosovo,XKX,"Goods exports (BoP, current US$)",BX.GSR.MRCH.CD,2015,357807181.403158
Kosovo,XKX,"Goods exports (BoP, current US$)",BX.GSR.MRCH.CD,2016,340651181.675466
Kosovo,XKX,"Goods exports (BoP, current US$)",BX.GSR.MRCH.CD,2017,428911370.153718
Kosovo,XKX,"Goods exports (BoP, current US$)",BX.GSR.MRCH.CD,2018,443642065.810286
Kosovo,XKX,"Goods exports (BoP, current US$)",BX.GSR.MRCH.CD,2019,439864462.250585
Kosovo,XKX,"Goods exports (BoP, current US$)",BX.GSR.MRCH.CD,2020,544541970.216295
Kosovo,XKX,"Goods exports (BoP, current US$)",BX.GSR.MRCH.CD,2021,889021107.413021
Kosovo,XKX,"Goods exports (BoP, current US$)",BX.GSR.MRCH.CD,2022,979572309.495412
Kosovo,XKX,"Goods exports (BoP, current US$)",BX.GSR.MRCH.CD,2023,941407362.942026
