country,country_code,indicator,indicator_code,year,value
Lebanon,LBN,Expense (% of GDP),GC.XPN.TOTL.GD.ZS,1998,26.1786684003212
Lebanon,LBN,Expense (% of GDP),GC.XPN.TOTL.GD.ZS,1999,28.0555237768371
Lebanon,LBN,Expense (% of GDP),GC.XPN.TOTL.GD.ZS,2000,30.510760953113
Lebanon,LBN,Expense (% of GDP),GC.XPN.TOTL.GD.ZS,2001,29.0092832713196
Lebanon,LBN,Expense (% of GDP),GC.XPN.TOTL.GD.ZS,2002,28.3520365752286
Lebanon,LBN,Expense (% of GDP),GC.XPN.TOTL.GD.ZS,2003,30.4722658843931
Lebanon,LBN,Expense (% of GDP),GC.XPN.TOTL.GD.ZS,2004,26.84613985077
Lebanon,LBN,Expense (% of GDP),GC.XPN.TOTL.GD.ZS,2005,26.8439816763272
Lebanon,LBN,Expense (% of GDP),GC.XPN.TOTL.GD.ZS,2006,31.7123902914344
Lebanon,LBN,Expense (% of GDP),GC.XPN.TOTL.GD.ZS,2007,31.5711063142009
Lebanon,LBN,Expense (% of GDP),GC.XPN.TOTL.GD.ZS,2008,30.5491605950214
Lebanon,LBN,Expense (% of GDP),GC.XPN.TOTL.GD.ZS,2009,28.7852621332844
Lebanon,LBN,Expense (% of GDP),GC.XPN.TOTL.GD.ZS,2010,25.8433428793157
Lebanon,LBN,Expense (% of GDP),GC.XPN.TOTL.GD.ZS,2011,26.3970134807849
Lebanon,LBN,Expense (% of GDP),GC.XPN.TOTL.GD.ZS,2012,26.7992055311946
Lebanon,LBN,Expense (% of GDP),GC.XPN.TOTL.GD.ZS,2013,26.6919929961178
Lebanon,LBN,Expense (% of GDP),GC.XPN.TOTL.GD.ZS,2014,25.9468799781231
Lebanon,LBN,Expense (% of GDP),GC.XPN.TOTL.GD.ZS,2015,22.8975511838178
Lebanon,LBN,Expense (% of GDP),GC.XPN.TOTL.GD.ZS,2016,25.847004898603
Lebanon,LBN,Expense (% of GDP),GC.XPN.TOTL.GD.ZS,2017,25.9835892601139
Lebanon,LBN,Expense (% of GDP),GC.XPN.TOTL.GD.ZS,2018,29.3461967656781
Lebanon,LBN,Expense (% of GDP),GC.XPN.TOTL.GD.ZS,2019,29.1875576254008
Lebanon,LBN,Expense (% of GDP),GC.XPN.TOTL.GD.ZS,2020,14.9448707575471
Lebanon,LBN,Expense (% of GDP),GC.XPN.TOTL.GD.ZS,2021,6.29571108447612
