country,country_code,indicator,indicator_code,year,value
Liberia,LBR,GDP per capita (current US$),NY.GDP.PCAP.CD,1960,167.171498224694
Liberia,LBR,GDP per capita (current US$),NY.GDP.PCAP.CD,1961,157.504686495101
Liberia,LBR,GDP per capita (current US$),NY.GDP.PCAP.CD,1962,160.280325035358
Liberia,LBR,GDP per capita (current US$),NY.GDP.PCAP.CD,1963,163.131266223133
Liberia,LBR,GDP per capita (current US$),NY.GDP.PCAP.CD,1964,173.926490274043
Liberia,LBR,GDP per capita (current US$),NY.GDP.PCAP.CD,1965,177.562432424897
Liberia,LBR,GDP per capita (current US$),NY.GDP.PCAP.CD,1966,184.583689159405
Liberia,LBR,GDP per capita (current US$),NY.GDP.PCAP.CD,1967,192.150746999304
Liberia,LBR,GDP per capita (current US$),NY.GDP.PCAP.CD,1968,198.647104834485
Liberia,LBR,GDP per capita (current US$),NY.GDP.PCAP.CD,1969,214.717911590964
Liberia,LBR,GDP per capita (current US$),NY.GDP.PCAP.CD,1970,220.293848130057
Liberia,LBR,GDP per capita (current US$),NY.GDP.PCAP.CD,1971,227.078201448463
Liberia,LBR,GDP per capita (current US$),NY.GDP.PCAP.CD,1972,238.610979665126
Liberia,LBR,GDP per capita (current US$),NY.GDP.PCAP.CD,1973,244.361727924182
Liberia,LBR,GDP per capita (current US$),NY.GDP.PCAP.CD,1974,299.413660673331
Liberia,LBR,GDP per capita (current US$),NY.GDP.PCAP.CD,1975,345.648935641772
Liberia,LBR,GDP per capita (current US$),NY.GDP.PCAP.CD,1976,347.498456664298
Liberia,LBR,GDP per capita (current US$),NY.GDP.PCAP.CD,1977,381.089104930355
Liberia,LBR,GDP per capita (current US$),NY.GDP.PCAP.CD,1978,394.468078319392
Liberia,LBR,GDP per capita (current US$),NY.GDP.PCAP.CD,1979,434.69976445937
Liberia,LBR,GDP per capita (current US$),NY.GDP.PCAP.CD,1980,443.027171656595
Liberia,LBR,GDP per capita (current US$),NY.GDP.PCAP.CD,1981,426.054939761947
Liberia,LBR,GDP per capita (current US$),NY.GDP.PCAP.CD,1982,422.446142509338
Liberia,LBR,GDP per capita (current US$),NY.GDP.PCAP.CD,1983,390.759726697144
Liberia,LBR,GDP per capita (current US$),NY.GDP.PCAP.CD,1984,390.407957992226
