country,country_code,indicator,indicator_code,year,value
Malaysia,MYS,"Services, value added (% of GDP)",NV.SRV.TOTL.ZS,1987,42.6774372571992
Malaysia,MYS,"Services, value added (% of GDP)",NV.SRV.TOTL.ZS,1988,42.1457183068096
Malaysia,MYS,"Services, value added (% of GDP)",NV.SRV.TOTL.ZS,1989,44.0517708323435
Malaysia,MYS,"Services, value added (% of GDP)",NV.SRV.TOTL.ZS,1990,44.1926083926067
Malaysia,MYS,"Services, value added (% of GDP)",NV.SRV.TOTL.ZS,1991,44.8195731328261
Malaysia,MYS,"Services, value added (% of GDP)",NV.SRV.TOTL.ZS,1992,45.6643792888334
Malaysia,MYS,"Services, value added (% of GDP)",NV.SRV.TOTL.ZS,1993,47.9668281124778
Malaysia,MYS,"Services, value added (% of GDP)",NV.SRV.TOTL.ZS,1994,47.9440911486179
Malaysia,MYS,"Services, value added (% of GDP)",NV.SRV.TOTL.ZS,1995,47.8822149204623
Malaysia,MYS,"Services, value added (% of GDP)",NV.SRV.TOTL.ZS,1996,47.9005407280122
Malaysia,MYS,"Services, value added (% of GDP)",NV.SRV.TOTL.ZS,1997,48.2435813268511
Malaysia,MYS,"Services, value added (% of GDP)",NV.SRV.TOTL.ZS,1998,48.9710248796969
Malaysia,MYS,"Services, value added (% of GDP)",NV.SRV.TOTL.ZS,1999,47.8827253261694
Malaysia,MYS,"Services, value added (% of GDP)",NV.SRV.TOTL.ZS,2000,46.3014974705458
Malaysia,MYS,"Services, value added (% of GDP)",NV.SRV.TOTL.ZS,2001,49.1730931223924
Malaysia,MYS,"Services, value added (% of GDP)",NV.SRV.TOTL.ZS,2002,48.6964168752104
Malaysia,MYS,"Services, value added (% of GDP)",NV.SRV.TOTL.ZS,2003,46.7102388190148
Malaysia,MYS,"Services, value added (% of GDP)",NV.SRV.TOTL.ZS,2004,44.5475985554205
Malaysia,MYS,"Services, value added (% of GDP)",NV.SRV.TOTL.ZS,2005,44.1971529384927
Malaysia,MYS,"Services, value added (% of GDP)",NV.SRV.TOTL.ZS,2006,43.9262781844017
Malaysia,MYS,"Services, value added (% of GDP)",NV.SRV.TOTL.ZS,2007,44.5202452881234
Malaysia,MYS,"Services, value added (% of GDP)",NV.SRV.TOTL.ZS,2008,43.9481056537511
Malaysia,MYS,"Services, value added (% of GDP)",NV.SRV.TOTL.ZS,2009,48.836021810826
Malaysia,MYS,"Services, value added (% of GDP)",NV.SRV.TOTL.ZS,2010,48.4774187579282
Malaysia,MYS,"Services, value added (% of GDP)",NV.SRV.TOTL.ZS,2011,47.766725565489
Malaysia,MYS,"Services, value added (% of GDP)",NV.SRV.TOTL.ZS,2012,49.0223958354783
Malaysia,MYS,"Services, value added (% of GDP)",NV.SRV.TOTL.ZS,2013,49.9447288177857
Malaysia,MYS,"Services, value added (% of GDP)",NV.SRV.TOTL.ZS,2014,50.1226904594272
Malaysia,MYS,"Services, value added (% of GDP)",NV.SRV.TOTL.ZS,2015,52.0139839408985
Malaysia,MYS,"Services, value added (% of GDP)",NV.SRV.TOTL.ZS,2016,52.5314244518403
Malaysia,MYS,"Services, value added (% of GDP)",NV.SRV.TOTL.ZS,2017,51.8820155184897
Malaysia,MYS,"Services, value added (% of GDP)",NV.SRV.TOTL.ZS,2018,52.9910477853598
Malaysia,MYS,"Services, value added (% of GDP)",NV.SRV.TOTL.ZS,2019,54.1547930455103
Malaysia,MYS,"Services, value added (% of GDP)",NV.SRV.TOTL.ZS,2020,54.7885780566697
Malaysia,MYS,"Services, value added (% of GDP)",NV.SRV.TOTL.ZS,2021,51.651935586827
Malaysia,MYS,"Services, value added (% of GDP)",NV.SRV.TOTL.ZS,2022,50.905773608125
Malaysia,MYS,"Services, value added (% of GDP)",NV.SRV.TOTL.ZS,2023,53.4204772904819
Malaysia,MYS,"Services, value added (% of GDP)",NV.SRV.TOTL.ZS,2024,53.5839093342527
