country,country_code,indicator,indicator_code,year,value
Mauritania,MRT,"Goods imports (BoP, current US$)",BM.GSR.MRCH.CD,1975,208494522.006728
Mauritania,MRT,"Goods imports (BoP, current US$)",BM.GSR.MRCH.CD,1976,272021056.26156
Mauritania,MRT,"Goods imports (BoP, current US$)",BM.GSR.MRCH.CD,1977,295522306.209353
Mauritania,MRT,"Goods imports (BoP, current US$)",BM.GSR.MRCH.CD,1978,267099918.765232
Mauritania,MRT,"Goods imports (BoP, current US$)",BM.GSR.MRCH.CD,1979,286016233.589366
Mauritania,MRT,"Goods imports (BoP, current US$)",BM.GSR.MRCH.CD,1980,321273973.677671
Mauritania,MRT,"Goods imports (BoP, current US$)",BM.GSR.MRCH.CD,1981,386223794.323182
Mauritania,MRT,"Goods imports (BoP, current US$)",BM.GSR.MRCH.CD,1982,426566650.032999
Mauritania,MRT,"Goods imports (BoP, current US$)",BM.GSR.MRCH.CD,1983,378240642.205946
Mauritania,MRT,"Goods imports (BoP, current US$)",BM.GSR.MRCH.CD,1984,302115876.9158
Mauritania,MRT,"Goods imports (BoP, current US$)",BM.GSR.MRCH.CD,1985,333904131.804361
Mauritania,MRT,"Goods imports (BoP, current US$)",BM.GSR.MRCH.CD,1986,401196638.656361
Mauritania,MRT,"Goods imports (BoP, current US$)",BM.GSR.MRCH.CD,1987,359185146.750288
Mauritania,MRT,"Goods imports (BoP, current US$)",BM.GSR.MRCH.CD,1988,348853431.953318
Mauritania,MRT,"Goods imports (BoP, current US$)",BM.GSR.MRCH.CD,1989,349327521.643328
Mauritania,MRT,"Goods imports (BoP, current US$)",BM.GSR.MRCH.CD,1990,382910096.887444
Mauritania,MRT,"Goods imports (BoP, current US$)",BM.GSR.MRCH.CD,1991,399105099.913561
Mauritania,MRT,"Goods imports (BoP, current US$)",BM.GSR.MRCH.CD,1992,461271965.229082
Mauritania,MRT,"Goods imports (BoP, current US$)",BM.GSR.MRCH.CD,1993,400369739.319984
Mauritania,MRT,"Goods imports (BoP, current US$)",BM.GSR.MRCH.CD,1994,352271899.656079
Mauritania,MRT,"Goods imports (BoP, current US$)",BM.GSR.MRCH.CD,1995,292559818.137451
Mauritania,MRT,"Goods imports (BoP, current US$)",BM.GSR.MRCH.CD,1996,346104235.239818
Mauritania,MRT,"Goods imports (BoP, current US$)",BM.GSR.MRCH.CD,1997,316463254.017035
Mauritania,MRT,"Goods imports (BoP, current US$)",BM.GSR.MRCH.CD,1998,318666849.419245
Mauritania,MRT,"Goods imports (BoP, current US$)",BM.GSR.MRCH.CD,2012,3128825829.56439
Mauritania,MRT,"Goods imports (BoP, current US$)",BM.GSR.MRCH.CD,2013,3044334095.54624
Mauritania,MRT,"Goods imports (BoP, current US$)",BM.GSR.MRCH.CD,2014,2650402610.65559
Mauritania,MRT,"Goods imports (BoP, current US$)",BM.GSR.MRCH.CD,2015,1948002120.91397
Mauritania,MRT,"Goods imports (BoP, current US$)",BM.GSR.MRCH.CD,2016,1900061698.88408
Mauritania,MRT,"Goods imports (BoP, current US$)",BM.GSR.MRCH.CD,2017,2093931423.83312
Mauritania,MRT,"Goods imports (BoP, current US$)",BM.GSR.MRCH.CD,2018,2601454256.29344
Mauritania,MRT,"Goods imports (BoP, current US$)",BM.GSR.MRCH.CD,2019,2889457235.37953
Mauritania,MRT,"Goods imports (BoP, current US$)",BM.GSR.MRCH.CD,2020,2878853980.07752
Mauritania,MRT,"Goods imports (BoP, current US$)",BM.GSR.MRCH.CD,2021,3519466035.22251
Mauritania,MRT,"Goods imports (BoP, current US$)",BM.GSR.MRCH.CD,2022,4826557759.47334
Mauritania,MRT,"Goods imports (BoP, current US$)",BM.GSR.MRCH.CD,2023,4315557758.83966
