country,country_code,indicator,indicator_code,year,value
Namibia,NAM,Tax revenue (% of GDP),GC.TAX.TOTL.GD.ZS,1990,23.0105648831849
Namibia,NAM,Tax revenue (% of GDP),GC.TAX.TOTL.GD.ZS,1991,26.9573305262972
Namibia,NAM,Tax revenue (% of GDP),GC.TAX.TOTL.GD.ZS,1992,25.1057047193092
Namibia,NAM,Tax revenue (% of GDP),GC.TAX.TOTL.GD.ZS,1993,26.1303454598085
Namibia,NAM,Tax revenue (% of GDP),GC.TAX.TOTL.GD.ZS,1994,24.0886148869007
Namibia,NAM,Tax revenue (% of GDP),GC.TAX.TOTL.GD.ZS,1995,25.0186945495627
Namibia,NAM,Tax revenue (% of GDP),GC.TAX.TOTL.GD.ZS,1996,23.9866294787519
Namibia,NAM,Tax revenue (% of GDP),GC.TAX.TOTL.GD.ZS,1997,26.6687060096273
Namibia,NAM,Tax revenue (% of GDP),GC.TAX.TOTL.GD.ZS,1998,25.6934877320742
Namibia,NAM,Tax revenue (% of GDP),GC.TAX.TOTL.GD.ZS,1999,27.9151280086767
Namibia,NAM,Tax revenue (% of GDP),GC.TAX.TOTL.GD.ZS,2000,27.4285090407923
Namibia,NAM,Tax revenue (% of GDP),GC.TAX.TOTL.GD.ZS,2001,26.3094628493947
Namibia,NAM,Tax revenue (% of GDP),GC.TAX.TOTL.GD.ZS,2002,26.0619966741516
Namibia,NAM,Tax revenue (% of GDP),GC.TAX.TOTL.GD.ZS,2003,23.1947692240056
Namibia,NAM,Tax revenue (% of GDP),GC.TAX.TOTL.GD.ZS,2004,24.2728217434857
Namibia,NAM,Tax revenue (% of GDP),GC.TAX.TOTL.GD.ZS,2005,25.7290098770124
Namibia,NAM,Tax revenue (% of GDP),GC.TAX.TOTL.GD.ZS,2006,29.0721666064647
Namibia,NAM,Tax revenue (% of GDP),GC.TAX.TOTL.GD.ZS,2007,30.5252906049617
Namibia,NAM,Tax revenue (% of GDP),GC.TAX.TOTL.GD.ZS,2008,29.70119351839
Namibia,NAM,Tax revenue (% of GDP),GC.TAX.TOTL.GD.ZS,2009,29.0723052633118
Namibia,NAM,Tax revenue (% of GDP),GC.TAX.TOTL.GD.ZS,2010,25.5423159777691
Namibia,NAM,Tax revenue (% of GDP),GC.TAX.TOTL.GD.ZS,2011,29.5505904218204
Namibia,NAM,Tax revenue (% of GDP),GC.TAX.TOTL.GD.ZS,2012,32.9327514425925
Namibia,NAM,Tax revenue (% of GDP),GC.TAX.TOTL.GD.ZS,2013,32.9807193371969
Namibia,NAM,Tax revenue (% of GDP),GC.TAX.TOTL.GD.ZS,2014,34.6286881010585
Namibia,NAM,Tax revenue (% of GDP),GC.TAX.TOTL.GD.ZS,2015,33.4223868666157
Namibia,NAM,Tax revenue (% of GDP),GC.TAX.TOTL.GD.ZS,2016,29.673463838066
Namibia,NAM,Tax revenue (% of GDP),GC.TAX.TOTL.GD.ZS,2017,31.3076966346094
Namibia,NAM,Tax revenue (% of GDP),GC.TAX.TOTL.GD.ZS,2018,28.9317139130964
Namibia,NAM,Tax revenue (% of GDP),GC.TAX.TOTL.GD.ZS,2019,30.3930951920007
Namibia,NAM,Tax revenue (% of GDP),GC.TAX.TOTL.GD.ZS,2020,31.2059110714252
Namibia,NAM,Tax revenue (% of GDP),GC.TAX.TOTL.GD.ZS,2021,28.0639865897267
Namibia,NAM,Tax revenue (% of GDP),GC.TAX.TOTL.GD.ZS,2022,27.1668398520557
Namibia,NAM,Tax revenue (% of GDP),GC.TAX.TOTL.GD.ZS,2023,32.9629020983214
