country,country_code,indicator,indicator_code,year,value
Nigeria,NGA,"Labor force, total",SL.TLF.TOTL.IN,1990,44182155.0
Nigeria,NGA,"Labor force, total",SL.TLF.TOTL.IN,1991,45539192.0
Nigeria,NGA,"Labor force, total",SL.TLF.TOTL.IN,1992,46853339.0
Nigeria,NGA,"Labor force, total",SL.TLF.TOTL.IN,1993,48403590.0
Nigeria,NGA,"Labor force, total",SL.TLF.TOTL.IN,1994,49995636.0
Nigeria,NGA,"Labor force, total",SL.TLF.TOTL.IN,1995,51569798.0
Nigeria,NGA,"Labor force, total",SL.TLF.TOTL.IN,1996,53048060.0
Nigeria,NGA,"Labor force, total",SL.TLF.TOTL.IN,1997,54590197.0
Nigeria,NGA,"Labor force, total",SL.TLF.TOTL.IN,1998,56197713.0
Nigeria,NGA,"Labor force, total",SL.TLF.TOTL.IN,1999,57886644.0
Nigeria,NGA,"Labor force, total",SL.TLF.TOTL.IN,2000,59448260.0
Nigeria,NGA,"Labor force, total",SL.TLF.TOTL.IN,2001,60989010.0
Nigeria,NGA,"Labor force, total",SL.TLF.TOTL.IN,2002,62279321.0
Nigeria,NGA,"Labor force, total",SL.TLF.TOTL.IN,2003,63804726.0
Nigeria,NGA,"Labor force, total",SL.TLF.TOTL.IN,2004,65310721.0
Nigeria,NGA,"Labor force, total",SL.TLF.TOTL.IN,2005,66926188.0
Nigeria,NGA,"Labor force, total",SL.TLF.TOTL.IN,2006,68566946.0
Nigeria,NGA,"Labor force, total",SL.TLF.TOTL.IN,2007,70237584.0
Nigeria,NGA,"Labor force, total",SL.TLF.TOTL.IN,2008,71955322.0
Nigeria,NGA,"Labor force, total",SL.TLF.TOTL.IN,2009,73675735.0
Nigeria,NGA,"Labor force, total",SL.TLF.TOTL.IN,2010,75478330.0
Nigeria,NGA,"Labor force, total",SL.TLF.TOTL.IN,2011,77476478.0
Nigeria,NGA,"Labor force, total",SL.TLF.TOTL.IN,2012,79576563.0
Nigeria,NGA,"Labor force, total",SL.TLF.TOTL.IN,2013,81609796.0
Nigeria,NGA,"Labor force, total",SL.TLF.TOTL.IN,2014,83690098.0
Nigeria,NGA,"Labor force, total",SL.TLF.TOTL.IN,2015,85977639.0
Nigeria,NGA,"Labor force, total",SL.TLF.TOTL.IN,2016,88619376.0
Nigeria,NGA,"Labor force, total",SL.TLF.TOTL.IN,2017,91313512.0
Nigeria,NGA,"Labor force, total",SL.TLF.TOTL.IN,2018,93991721.0
Nigeria,NGA,"Labor force, total",SL.TLF.TOTL.IN,2019,96681958.0
Nigeria,NGA,"Labor force, total",SL.TLF.TOTL.IN,2020,99696279.0
Nigeria,NGA,"Labor force, total",SL.TLF.TOTL.IN,2021,102508968.0
Nigeria,NGA,"Labor force, total",SL.TLF.TOTL.IN,2022,105432630.0
Nigeria,NGA,"Labor force, total",SL.TLF.TOTL.IN,2023,110183277.0
Nigeria,NGA,"Labor force, total",SL.TLF.TOTL.IN,2024,113349564.0
