country,country_code,indicator,indicator_code,year,value
Norway,NOR,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,1960,0.360492346844622
Norway,NOR,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,1961,2.15517277670922
Norway,NOR,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,1962,5.27425952920732
Norway,NOR,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,1963,2.47161052896497
Norway,NOR,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,1964,5.86701538751922
Norway,NOR,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,1965,4.18722443998004
Norway,NOR,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,1966,3.250563343053
Norway,NOR,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,1967,4.57926975753999
Norway,NOR,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,1968,3.44829324254207
Norway,NOR,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,1969,2.96294951075211
Norway,NOR,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,1970,10.6372065264183
Norway,NOR,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,1971,6.22386323501293
Norway,NOR,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,1972,7.25843582961521
Norway,NOR,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,1973,7.41947283637503
Norway,NOR,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,1974,9.4117681321189
Norway,NOR,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,1975,11.6892234816854
Norway,NOR,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,1976,9.16147276547562
Norway,NOR,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,1977,9.10383971160298
Norway,NOR,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,1978,8.1616715433962
Norway,NOR,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,1979,4.50972761206209
Norway,NOR,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,1980,10.878661087866
Norway,NOR,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,1981,13.6429608127722
Norway,NOR,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,1982,11.3409961685824
Norway,NOR,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,1983,8.46524432209222
Norway,NOR,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,1984,6.21827411167512
Norway,NOR,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,1985,5.71485463958579
Norway,NOR,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,1986,7.17649274816357
Norway,NOR,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,1987,8.71704745166956
Norway,NOR,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,1988,6.67636598771417
Norway,NOR,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,1989,4.54614335505379
Norway,NOR,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,1990,4.1310334831135
Norway,NOR,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,1991,3.43819599109134
Norway,NOR,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,1992,2.32808504911857
Norway,NOR,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,1993,2.28826933193057
Norway,NOR,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,1994,1.37567498071479
Norway,NOR,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,1995,2.46036778693724
