country,country_code,indicator,indicator_code,year,value
Papua New Guinea,PNG,Expense (% of GDP),GC.XPN.TOTL.GD.ZS,1990,31.1517456602302
Papua New Guinea,PNG,Expense (% of GDP),GC.XPN.TOTL.GD.ZS,1991,30.0016640781007
Papua New Guinea,PNG,Expense (% of GDP),GC.XPN.TOTL.GD.ZS,1992,29.0520956665877
Papua New Guinea,PNG,Expense (% of GDP),GC.XPN.TOTL.GD.ZS,1993,29.98479587434
Papua New Guinea,PNG,Expense (% of GDP),GC.XPN.TOTL.GD.ZS,1994,27.0156591866626
Papua New Guinea,PNG,Expense (% of GDP),GC.XPN.TOTL.GD.ZS,1995,24.5386378678548
Papua New Guinea,PNG,Expense (% of GDP),GC.XPN.TOTL.GD.ZS,1996,25.7841111454516
Papua New Guinea,PNG,Expense (% of GDP),GC.XPN.TOTL.GD.ZS,1997,27.2795355669812
Papua New Guinea,PNG,Expense (% of GDP),GC.XPN.TOTL.GD.ZS,1998,24.0769644779333
Papua New Guinea,PNG,Expense (% of GDP),GC.XPN.TOTL.GD.ZS,1999,29.331120726762
Papua New Guinea,PNG,Expense (% of GDP),GC.XPN.TOTL.GD.ZS,2000,30.0470326013271
Papua New Guinea,PNG,Expense (% of GDP),GC.XPN.TOTL.GD.ZS,2001,26.9230976405067
Papua New Guinea,PNG,Expense (% of GDP),GC.XPN.TOTL.GD.ZS,2002,22.093912745056
Papua New Guinea,PNG,Expense (% of GDP),GC.XPN.TOTL.GD.ZS,2014,21.7511493892941
Papua New Guinea,PNG,Expense (% of GDP),GC.XPN.TOTL.GD.ZS,2015,20.2295670659165
Papua New Guinea,PNG,Expense (% of GDP),GC.XPN.TOTL.GD.ZS,2016,18.3875117589636
Papua New Guinea,PNG,Expense (% of GDP),GC.XPN.TOTL.GD.ZS,2017,16.582991808656
Papua New Guinea,PNG,Expense (% of GDP),GC.XPN.TOTL.GD.ZS,2018,18.3099112905525
Papua New Guinea,PNG,Expense (% of GDP),GC.XPN.TOTL.GD.ZS,2019,19.1432069429868
Papua New Guinea,PNG,Expense (% of GDP),GC.XPN.TOTL.GD.ZS,2020,20.8959129575791
Papua New Guinea,PNG,Expense (% of GDP),GC.XPN.TOTL.GD.ZS,2021,19.8343776635656
Papua New Guinea,PNG,Expense (% of GDP),GC.XPN.TOTL.GD.ZS,2022,19.4489382425075
Papua New Guinea,PNG,Expense (% of GDP),GC.XPN.TOTL.GD.ZS,2023,20.3235696640344
