country,country_code,indicator,indicator_code,year,value
Poland,POL,GDP (current US$),NY.GDP.MKTP.CD,1990,65977748210.5263
Poland,POL,GDP (current US$),NY.GDP.MKTP.CD,1991,85500935934.9901
Poland,POL,GDP (current US$),NY.GDP.MKTP.CD,1992,94337050693.2727
Poland,POL,GDP (current US$),NY.GDP.MKTP.CD,1993,96043157272.862
Poland,POL,GDP (current US$),NY.GDP.MKTP.CD,1994,110803635287.621
Poland,POL,GDP (current US$),NY.GDP.MKTP.CD,1995,142838527115.448
Poland,POL,GDP (current US$),NY.GDP.MKTP.CD,1996,160813026223.063
Poland,POL,GDP (current US$),NY.GDP.MKTP.CD,1997,159893964916.817
Poland,POL,GDP (current US$),NY.GDP.MKTP.CD,1998,175282269666.801
Poland,POL,GDP (current US$),NY.GDP.MKTP.CD,1999,170704452714.673
Poland,POL,GDP (current US$),NY.GDP.MKTP.CD,2000,172953527033.013
Poland,POL,GDP (current US$),NY.GDP.MKTP.CD,2001,191823200371.284
Poland,POL,GDP (current US$),NY.GDP.MKTP.CD,2002,199694463255.567
Poland,POL,GDP (current US$),NY.GDP.MKTP.CD,2003,218561225998.47
Poland,POL,GDP (current US$),NY.GDP.MKTP.CD,2004,256268656145.134
Poland,POL,GDP (current US$),NY.GDP.MKTP.CD,2005,306999913150.525
Poland,POL,GDP (current US$),NY.GDP.MKTP.CD,2006,345897630736.173
Poland,POL,GDP (current US$),NY.GDP.MKTP.CD,2007,429715132137.503
Poland,POL,GDP (current US$),NY.GDP.MKTP.CD,2008,535612030671.888
Poland,POL,GDP (current US$),NY.GDP.MKTP.CD,2009,440891472247.096
Poland,POL,GDP (current US$),NY.GDP.MKTP.CD,2010,478111630683.514
Poland,POL,GDP (current US$),NY.GDP.MKTP.CD,2011,527848543023.469
Poland,POL,GDP (current US$),NY.GDP.MKTP.CD,2012,498148649702.66
Poland,POL,GDP (current US$),NY.GDP.MKTP.CD,2013,518179836405.36
Poland,POL,GDP (current US$),NY.GDP.MKTP.CD,2014,542134167178.627
Poland,POL,GDP (current US$),NY.GDP.MKTP.CD,2015,480054118583.367
Poland,POL,GDP (current US$),NY.GDP.MKTP.CD,2016,473259623976.262
Poland,POL,GDP (current US$),NY.GDP.MKTP.CD,2017,528356723263.073
Poland,POL,GDP (current US$),NY.GDP.MKTP.CD,2018,594616632477.019
Poland,POL,GDP (current US$),NY.GDP.MKTP.CD,2019,602683770144.88
Poland,POL,GDP (current US$),NY.GDP.MKTP.CD,2020,605914186117.953
Poland,POL,GDP (current US$),NY.GDP.MKTP.CD,2021,689170171187.004
Poland,POL,GDP (current US$),NY.GDP.MKTP.CD,2022,695607522884.822
Poland,POL,GDP (current US$),NY.GDP.MKTP.CD,2023,812451128978.58
Poland,POL,GDP (current US$),NY.GDP.MKTP.CD,2024,914696430325.391
