country,country_code,indicator,indicator_code,year,value
Rwanda,RWA,"Services, value added (% of GDP)",NV.SRV.TOTL.ZS,1965,18.3548035423123
Rwanda,RWA,"Services, value added (% of GDP)",NV.SRV.TOTL.ZS,1966,18.3627063475318
Rwanda,RWA,"Services, value added (% of GDP)",NV.SRV.TOTL.ZS,1967,24.4021111855227
Rwanda,RWA,"Services, value added (% of GDP)",NV.SRV.TOTL.ZS,1968,25.2218440534658
Rwanda,RWA,"Services, value added (% of GDP)",NV.SRV.TOTL.ZS,1969,24.8230168603518
Rwanda,RWA,"Services, value added (% of GDP)",NV.SRV.TOTL.ZS,1970,29.7862679458044
Rwanda,RWA,"Services, value added (% of GDP)",NV.SRV.TOTL.ZS,1971,30.1394499350328
Rwanda,RWA,"Services, value added (% of GDP)",NV.SRV.TOTL.ZS,1972,31.0132134277784
Rwanda,RWA,"Services, value added (% of GDP)",NV.SRV.TOTL.ZS,1973,30.2458971412253
Rwanda,RWA,"Services, value added (% of GDP)",NV.SRV.TOTL.ZS,1974,31.659696740253
Rwanda,RWA,"Services, value added (% of GDP)",NV.SRV.TOTL.ZS,1975,31.8173210415844
Rwanda,RWA,"Services, value added (% of GDP)",NV.SRV.TOTL.ZS,1976,31.8894430352342
Rwanda,RWA,"Services, value added (% of GDP)",NV.SRV.TOTL.ZS,1977,32.3328182232483
Rwanda,RWA,"Services, value added (% of GDP)",NV.SRV.TOTL.ZS,1978,35.4595983909668
Rwanda,RWA,"Services, value added (% of GDP)",NV.SRV.TOTL.ZS,1979,32.2241864106304
Rwanda,RWA,"Services, value added (% of GDP)",NV.SRV.TOTL.ZS,1980,32.604871312547
Rwanda,RWA,"Services, value added (% of GDP)",NV.SRV.TOTL.ZS,1981,38.4703176652831
Rwanda,RWA,"Services, value added (% of GDP)",NV.SRV.TOTL.ZS,1982,38.4819540322226
Rwanda,RWA,"Services, value added (% of GDP)",NV.SRV.TOTL.ZS,1983,37.7134665438416
Rwanda,RWA,"Services, value added (% of GDP)",NV.SRV.TOTL.ZS,1984,35.92429334941
Rwanda,RWA,"Services, value added (% of GDP)",NV.SRV.TOTL.ZS,1985,35.4783546143681
Rwanda,RWA,"Services, value added (% of GDP)",NV.SRV.TOTL.ZS,1986,39.389743811922
Rwanda,RWA,"Services, value added (% of GDP)",NV.SRV.TOTL.ZS,1987,44.4594630296453
Rwanda,RWA,"Services, value added (% of GDP)",NV.SRV.TOTL.ZS,1988,43.6423852336288
Rwanda,RWA,"Services, value added (% of GDP)",NV.SRV.TOTL.ZS,1989,42.2709385781304
Rwanda,RWA,"Services, value added (% of GDP)",NV.SRV.TOTL.ZS,1990,42.8298343146461
Rwanda,RWA,"Services, value added (% of GDP)",NV.SRV.TOTL.ZS,1991,46.927243395345
Rwanda,RWA,"Services, value added (% of GDP)",NV.SRV.TOTL.ZS,1992,48.05894676441
Rwanda,RWA,"Services, value added (% of GDP)",NV.SRV.TOTL.ZS,1993,47.9302788498182
Rwanda,RWA,"Services, value added (% of GDP)",NV.SRV.TOTL.ZS,1994,29.0711693389219
Rwanda,RWA,"Services, value added (% of GDP)",NV.SRV.TOTL.ZS,1995,40.0283638076243
Rwanda,RWA,"Services, value added (% of GDP)",NV.SRV.TOTL.ZS,1996,34.7248934687552
Rwanda,RWA,"Services, value added (% of GDP)",NV.SRV.TOTL.ZS,1997,35.428981612238
Rwanda,RWA,"Services, value added (% of GDP)",NV.SRV.TOTL.ZS,1998,35.779819179672
Rwanda,RWA,"Services, value added (% of GDP)",NV.SRV.TOTL.ZS,1999,41.856951783565
Rwanda,RWA,"Services, value added (% of GDP)",NV.SRV.TOTL.ZS,2000,44.3325422142963
Rwanda,RWA,"Services, value added (% of GDP)",NV.SRV.TOTL.ZS,2001,43.4295280432737
Rwanda,RWA,"Services, value added (% of GDP)",NV.SRV.TOTL.ZS,2002,44.3972019839823
Rwanda,RWA,"Services, value added (% of GDP)",NV.SRV.TOTL.ZS,2003,43.6823937428764
Rwanda,RWA,"Services, value added (% of GDP)",NV.SRV.TOTL.ZS,2004,42.4570134790914
Rwanda,RWA,"Services, value added (% of GDP)",NV.SRV.TOTL.ZS,2005,42.5382621808924
Rwanda,RWA,"Services, value added (% of GDP)",NV.SRV.TOTL.ZS,2006,45.2049075365036
