country,country_code,indicator,indicator_code,year,value
South Sudan,SSD,Urban population (% of total population),SP.URB.TOTL.IN.ZS,1960,8.748
South Sudan,SSD,Urban population (% of total population),SP.URB.TOTL.IN.ZS,1961,8.737
South Sudan,SSD,Urban population (% of total population),SP.URB.TOTL.IN.ZS,1962,8.725
South Sudan,SSD,Urban population (% of total population),SP.URB.TOTL.IN.ZS,1963,8.714
South Sudan,SSD,Urban population (% of total population),SP.URB.TOTL.IN.ZS,1964,8.702
South Sudan,SSD,Urban population (% of total population),SP.URB.TOTL.IN.ZS,1965,8.69
South Sudan,SSD,Urban population (% of total population),SP.URB.TOTL.IN.ZS,1966,8.679
South Sudan,SSD,Urban population (% of total population),SP.URB.TOTL.IN.ZS,1967,8.667
South Sudan,SSD,Urban population (% of total population),SP.URB.TOTL.IN.ZS,1968,8.656
South Sudan,SSD,Urban population (% of total population),SP.URB.TOTL.IN.ZS,1969,8.645
South Sudan,SSD,Urban population (% of total population),SP.URB.TOTL.IN.ZS,1970,8.633
South Sudan,SSD,Urban population (% of total population),SP.URB.TOTL.IN.ZS,1971,8.622
South Sudan,SSD,Urban population (% of total population),SP.URB.TOTL.IN.ZS,1972,8.61
South Sudan,SSD,Urban population (% of total population),SP.URB.TOTL.IN.ZS,1973,8.599
South Sudan,SSD,Urban population (% of total population),SP.URB.TOTL.IN.ZS,1974,8.587
South Sudan,SSD,Urban population (% of total population),SP.URB.TOTL.IN.ZS,1975,8.576
South Sudan,SSD,Urban population (% of total population),SP.URB.TOTL.IN.ZS,1976,8.565
South Sudan,SSD,Urban population (% of total population),SP.URB.TOTL.IN.ZS,1977,8.553
South Sudan,SSD,Urban population (% of total population),SP.URB.TOTL.IN.ZS,1978,8.542
South Sudan,SSD,Urban population (% of total population),SP.URB.TOTL.IN.ZS,1979,8.531
South Sudan,SSD,Urban population (% of total population),SP.URB.TOTL.IN.ZS,1980,8.519
South Sudan,SSD,Urban population (% of total population),SP.URB.TOTL.IN.ZS,1981,8.508
South Sudan,SSD,Urban population (% of total population),SP.URB.TOTL.IN.ZS,1982,8.497
South Sudan,SSD,Urban population (% of total population),SP.URB.TOTL.IN.ZS,1983,8.708
South Sudan,SSD,Urban population (% of total population),SP.URB.TOTL.IN.ZS,1984,9.261
South Sudan,SSD,Urban population (% of total population),SP.URB.TOTL.IN.ZS,1985,9.844
South Sudan,SSD,Urban population (% of total population),SP.URB.TOTL.IN.ZS,1986,10.461
South Sudan,SSD,Urban population (% of total population),SP.URB.TOTL.IN.ZS,1987,11.111
South Sudan,SSD,Urban population (% of total population),SP.URB.TOTL.IN.ZS,1988,11.797
South Sudan,SSD,Urban population (% of total population),SP.URB.TOTL.IN.ZS,1989,12.517
South Sudan,SSD,Urban population (% of total population),SP.URB.TOTL.IN.ZS,1990,13.276
South Sudan,SSD,Urban population (% of total population),SP.URB.TOTL.IN.ZS,1991,14.074
South Sudan,SSD,Urban population (% of total population),SP.URB.TOTL.IN.ZS,1992,14.912
South Sudan,SSD,Urban population (% of total population),SP.URB.TOTL.IN.ZS,1993,15.626
South Sudan,SSD,Urban population (% of total population),SP.URB.TOTL.IN.ZS,1994,15.749
South Sudan,SSD,Urban population (% of total population),SP.URB.TOTL.IN.ZS,1995,15.873
South Sudan,SSD,Urban population (% of total population),SP.URB.TOTL.IN.ZS,1996,15.997
South Sudan,SSD,Urban population (% of total population),SP.URB.TOTL.IN.ZS,1997,16.123
South Sudan,SSD,Urban population (% of total population),SP.URB.TOTL.IN.ZS,1998,16.249
South Sudan,SSD,Urban population (% of total population),SP.URB.TOTL.IN.ZS,1999,16.376
South Sudan,SSD,Urban population (% of total population),SP.URB.TOTL.IN.ZS,2000,16.504
South Sudan,SSD,Urban population (% of total population),SP.URB.TOTL.IN.ZS,2001,16.632
South Sudan,SSD,Urban population (% of total population),SP.URB.TOTL.IN.ZS,2002,16.761
South Sudan,SSD,Urban population (% of total population),SP.URB.TOTL.IN.ZS,2003,16.891
South Sudan,SSD,Urban population (% of total population),SP.URB.TOTL.IN.ZS,2004,17.023
South Sudan,SSD,Urban population (% of total population),SP.URB.TOTL.IN.ZS,2005,17.154
South Sudan,SSD,Urban population (% of total population),SP.URB.TOTL.IN.ZS,2006,17.287
South Sudan,SSD,Urban population (% of total population),SP.URB.TOTL.IN.ZS,2007,17.42
South Sudan,SSD,Urban population (% of total population),SP.URB.TOTL.IN.ZS,2008,17.555
South Sudan,SSD,Urban population (% of total population),SP.URB.TOTL.IN.ZS,2009,17.701
South Sudan,SSD,Urban population (% of total population),SP.URB.TOTL.IN.ZS,2010,17.86
South Sudan,SSD,Urban population (% of total population),SP.URB.TOTL.IN.ZS,2011,18.032
South Sudan,SSD,Urban population (% of total population),SP.URB.TOTL.IN.ZS,2012,18.217
South Sudan,SSD,Urban population (% of total population),SP.URB.TOTL.IN.ZS,2013,18.415
South Sudan,SSD,Urban population (% of total population),SP.URB.TOTL.IN.ZS,2014,18.626
South Sudan,SSD,Urban population (% of total population),SP.URB.TOTL.IN.ZS,2015,18.852
South Sudan,SSD,Urban population (% of total population),SP.URB.TOTL.IN.ZS,2016,19.092
South Sudan,SSD,Urban population (% of total population),SP.URB.TOTL.IN.ZS,2017,19.346
South Sudan,SSD,Urban population (% of total population),SP.URB.TOTL.IN.ZS,2018,19.615
South Sudan,SSD,Urban population (% of total population),SP.URB.TOTL.IN.ZS,2019,19.899
South Sudan,SSD,Urban population (% of total population),SP.URB.TOTL.IN.ZS,2020,20.199
South Sudan,SSD,Urban population (% of total population),SP.URB.TOTL.IN.ZS,2021,20.514
South Sudan,SSD,Urban population (% of total population),SP.URB.TOTL.IN.ZS,2022,20.846
South Sudan,SSD,Urban population (% of total population),SP.URB.TOTL.IN.ZS,2023,21.195
South Sudan,SSD,Urban population (% of total population),SP.URB.TOTL.IN.ZS,2024,21.56
