country,country_code,indicator,indicator_code,year,value
Spain,ESP,"Goods imports (BoP, current US$)",BM.GSR.MRCH.CD,1975,15206882216.3907
Spain,ESP,"Goods imports (BoP, current US$)",BM.GSR.MRCH.CD,1976,16299386812.381
Spain,ESP,"Goods imports (BoP, current US$)",BM.GSR.MRCH.CD,1977,16736326573.3173
Spain,ESP,"Goods imports (BoP, current US$)",BM.GSR.MRCH.CD,1978,17555418766.9085
Spain,ESP,"Goods imports (BoP, current US$)",BM.GSR.MRCH.CD,1979,24040607222.5896
Spain,ESP,"Goods imports (BoP, current US$)",BM.GSR.MRCH.CD,1980,32271932917.522
Spain,ESP,"Goods imports (BoP, current US$)",BM.GSR.MRCH.CD,1981,31086385275.0639
Spain,ESP,"Goods imports (BoP, current US$)",BM.GSR.MRCH.CD,1982,30542100857.1416
Spain,ESP,"Goods imports (BoP, current US$)",BM.GSR.MRCH.CD,1983,27559824230.6623
Spain,ESP,"Goods imports (BoP, current US$)",BM.GSR.MRCH.CD,1984,26984813184.4157
Spain,ESP,"Goods imports (BoP, current US$)",BM.GSR.MRCH.CD,1985,27835784646.4708
Spain,ESP,"Goods imports (BoP, current US$)",BM.GSR.MRCH.CD,1986,33278097846.9132
Spain,ESP,"Goods imports (BoP, current US$)",BM.GSR.MRCH.CD,1987,46547497093.6157
Spain,ESP,"Goods imports (BoP, current US$)",BM.GSR.MRCH.CD,1988,57650272269.8751
Spain,ESP,"Goods imports (BoP, current US$)",BM.GSR.MRCH.CD,1989,67796832317.6119
Spain,ESP,"Goods imports (BoP, current US$)",BM.GSR.MRCH.CD,1990,84815312308.4532
Spain,ESP,"Goods imports (BoP, current US$)",BM.GSR.MRCH.CD,1991,90501341104.225
Spain,ESP,"Goods imports (BoP, current US$)",BM.GSR.MRCH.CD,1992,96246708830.0796
Spain,ESP,"Goods imports (BoP, current US$)",BM.GSR.MRCH.CD,1993,77019979528.6827
Spain,ESP,"Goods imports (BoP, current US$)",BM.GSR.MRCH.CD,1994,88817177644.7034
Spain,ESP,"Goods imports (BoP, current US$)",BM.GSR.MRCH.CD,1995,112107163154.954
Spain,ESP,"Goods imports (BoP, current US$)",BM.GSR.MRCH.CD,1996,118908580403.764
Spain,ESP,"Goods imports (BoP, current US$)",BM.GSR.MRCH.CD,1997,121414427793.365
Spain,ESP,"Goods imports (BoP, current US$)",BM.GSR.MRCH.CD,1998,132569218830.788
Spain,ESP,"Goods imports (BoP, current US$)",BM.GSR.MRCH.CD,1999,147837855913.628
Spain,ESP,"Goods imports (BoP, current US$)",BM.GSR.MRCH.CD,2000,155779893072.885
Spain,ESP,"Goods imports (BoP, current US$)",BM.GSR.MRCH.CD,2001,154885224378.95
Spain,ESP,"Goods imports (BoP, current US$)",BM.GSR.MRCH.CD,2002,164587227389.701
Spain,ESP,"Goods imports (BoP, current US$)",BM.GSR.MRCH.CD,2003,206721241987.789
Spain,ESP,"Goods imports (BoP, current US$)",BM.GSR.MRCH.CD,2004,256922088563.131
Spain,ESP,"Goods imports (BoP, current US$)",BM.GSR.MRCH.CD,2005,283552164506.817
Spain,ESP,"Goods imports (BoP, current US$)",BM.GSR.MRCH.CD,2006,322368649408.391
Spain,ESP,"Goods imports (BoP, current US$)",BM.GSR.MRCH.CD,2007,391342785006.126
Spain,ESP,"Goods imports (BoP, current US$)",BM.GSR.MRCH.CD,2008,415495708346.428
Spain,ESP,"Goods imports (BoP, current US$)",BM.GSR.MRCH.CD,2009,288498971675.086
Spain,ESP,"Goods imports (BoP, current US$)",BM.GSR.MRCH.CD,2010,318032841576.478
Spain,ESP,"Goods imports (BoP, current US$)",BM.GSR.MRCH.CD,2011,364129710376.892
Spain,ESP,"Goods imports (BoP, current US$)",BM.GSR.MRCH.CD,2012,327487379936.438
Spain,ESP,"Goods imports (BoP, current US$)",BM.GSR.MRCH.CD,2013,333351955854.468
Spain,ESP,"Goods imports (BoP, current US$)",BM.GSR.MRCH.CD,2014,349750725802.272
Spain,ESP,"Goods imports (BoP, current US$)",BM.GSR.MRCH.CD,2015,303444140284.962
Spain,ESP,"Goods imports (BoP, current US$)",BM.GSR.MRCH.CD,2016,302850013842.812
Spain,ESP,"Goods imports (BoP, current US$)",BM.GSR.MRCH.CD,2017,342213372289.523
Spain,ESP,"Goods imports (BoP, current US$)",BM.GSR.MRCH.CD,2018,377961589924.368
Spain,ESP,"Goods imports (BoP, current US$)",BM.GSR.MRCH.CD,2019,358871553212.279
Spain,ESP,"Goods imports (BoP, current US$)",BM.GSR.MRCH.CD,2020,312525360935.627
Spain,ESP,"Goods imports (BoP, current US$)",BM.GSR.MRCH.CD,2021,400515407814.358
Spain,ESP,"Goods imports (BoP, current US$)",BM.GSR.MRCH.CD,2022,472810525196.417
Spain,ESP,"Goods imports (BoP, current US$)",BM.GSR.MRCH.CD,2023,457085718656.05
Spain,ESP,"Goods imports (BoP, current US$)",BM.GSR.MRCH.CD,2024,456943173912.797
