country,country_code,indicator,indicator_code,year,value
St. Lucia,LCA,"Current account balance (BoP, current US$)",BN.CAB.XOKA.CD,1976,-5396472.78839685
St. Lucia,LCA,"Current account balance (BoP, current US$)",BN.CAB.XOKA.CD,1977,-10900000.0
St. Lucia,LCA,"Current account balance (BoP, current US$)",BN.CAB.XOKA.CD,1978,-23000000.0
St. Lucia,LCA,"Current account balance (BoP, current US$)",BN.CAB.XOKA.CD,1979,-28100000.0
St. Lucia,LCA,"Current account balance (BoP, current US$)",BN.CAB.XOKA.CD,1980,-33300000.0
St. Lucia,LCA,"Current account balance (BoP, current US$)",BN.CAB.XOKA.CD,1981,-39800000.0
St. Lucia,LCA,"Current account balance (BoP, current US$)",BN.CAB.XOKA.CD,1982,-30800000.0
St. Lucia,LCA,"Current account balance (BoP, current US$)",BN.CAB.XOKA.CD,1983,-4911111.11111111
St. Lucia,LCA,"Current account balance (BoP, current US$)",BN.CAB.XOKA.CD,1984,-13400000.0
St. Lucia,LCA,"Current account balance (BoP, current US$)",BN.CAB.XOKA.CD,1985,-12500000.0
St. Lucia,LCA,"Current account balance (BoP, current US$)",BN.CAB.XOKA.CD,1986,-6681481.48148148
St. Lucia,LCA,"Current account balance (BoP, current US$)",BN.CAB.XOKA.CD,1987,-14314814.8148148
St. Lucia,LCA,"Current account balance (BoP, current US$)",BN.CAB.XOKA.CD,1988,-17914814.8148148
St. Lucia,LCA,"Current account balance (BoP, current US$)",BN.CAB.XOKA.CD,1989,-63259259.2592593
St. Lucia,LCA,"Current account balance (BoP, current US$)",BN.CAB.XOKA.CD,1990,-57044444.4444444
St. Lucia,LCA,"Current account balance (BoP, current US$)",BN.CAB.XOKA.CD,1991,-71848148.1481481
St. Lucia,LCA,"Current account balance (BoP, current US$)",BN.CAB.XOKA.CD,1992,-56037037.037037
St. Lucia,LCA,"Current account balance (BoP, current US$)",BN.CAB.XOKA.CD,1993,-50170370.3703704
St. Lucia,LCA,"Current account balance (BoP, current US$)",BN.CAB.XOKA.CD,1994,-48377777.7777778
St. Lucia,LCA,"Current account balance (BoP, current US$)",BN.CAB.XOKA.CD,1995,-36218518.5185185
St. Lucia,LCA,"Current account balance (BoP, current US$)",BN.CAB.XOKA.CD,1996,-57844444.4444444
St. Lucia,LCA,"Current account balance (BoP, current US$)",BN.CAB.XOKA.CD,1997,-78692592.5925926
St. Lucia,LCA,"Current account balance (BoP, current US$)",BN.CAB.XOKA.CD,1998,-60159259.2592593
St. Lucia,LCA,"Current account balance (BoP, current US$)",BN.CAB.XOKA.CD,1999,-110988888.888889
St. Lucia,LCA,"Current account balance (BoP, current US$)",BN.CAB.XOKA.CD,2000,-166322072.204163
St. Lucia,LCA,"Current account balance (BoP, current US$)",BN.CAB.XOKA.CD,2001,-168044058.095251
St. Lucia,LCA,"Current account balance (BoP, current US$)",BN.CAB.XOKA.CD,2002,-158570622.442208
St. Lucia,LCA,"Current account balance (BoP, current US$)",BN.CAB.XOKA.CD,2003,-206679659.119586
St. Lucia,LCA,"Current account balance (BoP, current US$)",BN.CAB.XOKA.CD,2004,-158659641.355627
St. Lucia,LCA,"Current account balance (BoP, current US$)",BN.CAB.XOKA.CD,2005,-176084971.961894
St. Lucia,LCA,"Current account balance (BoP, current US$)",BN.CAB.XOKA.CD,2006,-371992622.316411
St. Lucia,LCA,"Current account balance (BoP, current US$)",BN.CAB.XOKA.CD,2007,-245606265.578834
St. Lucia,LCA,"Current account balance (BoP, current US$)",BN.CAB.XOKA.CD,2008,-348496655.700404
St. Lucia,LCA,"Current account balance (BoP, current US$)",BN.CAB.XOKA.CD,2009,-118700626.976384
St. Lucia,LCA,"Current account balance (BoP, current US$)",BN.CAB.XOKA.CD,2010,-187824547.856077
St. Lucia,LCA,"Current account balance (BoP, current US$)",BN.CAB.XOKA.CD,2011,-224388649.208522
St. Lucia,LCA,"Current account balance (BoP, current US$)",BN.CAB.XOKA.CD,2012,-160215505.274509
St. Lucia,LCA,"Current account balance (BoP, current US$)",BN.CAB.XOKA.CD,2013,-108432504.315317
St. Lucia,LCA,"Current account balance (BoP, current US$)",BN.CAB.XOKA.CD,2014,-42487306.4648378
St. Lucia,LCA,"Current account balance (BoP, current US$)",BN.CAB.XOKA.CD,2015,-8626677.23370763
St. Lucia,LCA,"Current account balance (BoP, current US$)",BN.CAB.XOKA.CD,2016,-118432131.515927
St. Lucia,LCA,"Current account balance (BoP, current US$)",BN.CAB.XOKA.CD,2017,-38140005.0728293
St. Lucia,LCA,"Current account balance (BoP, current US$)",BN.CAB.XOKA.CD,2018,30345435.8493787
St. Lucia,LCA,"Current account balance (BoP, current US$)",BN.CAB.XOKA.CD,2019,69684110.0
St. Lucia,LCA,"Current account balance (BoP, current US$)",BN.CAB.XOKA.CD,2020,-283956791.111111
St. Lucia,LCA,"Current account balance (BoP, current US$)",BN.CAB.XOKA.CD,2021,-210924359.259259
St. Lucia,LCA,"Current account balance (BoP, current US$)",BN.CAB.XOKA.CD,2022,-83441684.0740741
St. Lucia,LCA,"Current account balance (BoP, current US$)",BN.CAB.XOKA.CD,2023,-38069265.5555556
St. Lucia,LCA,"Current account balance (BoP, current US$)",BN.CAB.XOKA.CD,2024,-64121335.1851852
