country,country_code,indicator,indicator_code,year,value
Sweden,SWE,"Goods exports (BoP, current US$)",BX.GSR.MRCH.CD,1970,6904803781.63361
Sweden,SWE,"Goods exports (BoP, current US$)",BX.GSR.MRCH.CD,1971,7694250692.44402
Sweden,SWE,"Goods exports (BoP, current US$)",BX.GSR.MRCH.CD,1972,9159215386.26941
Sweden,SWE,"Goods exports (BoP, current US$)",BX.GSR.MRCH.CD,1973,12760890723.6272
Sweden,SWE,"Goods exports (BoP, current US$)",BX.GSR.MRCH.CD,1974,16608006671.2712
Sweden,SWE,"Goods exports (BoP, current US$)",BX.GSR.MRCH.CD,1975,18321015147.5651
Sweden,SWE,"Goods exports (BoP, current US$)",BX.GSR.MRCH.CD,1976,19508716822.7664
Sweden,SWE,"Goods exports (BoP, current US$)",BX.GSR.MRCH.CD,1977,20315963817.4474
Sweden,SWE,"Goods exports (BoP, current US$)",BX.GSR.MRCH.CD,1978,23174455423.0394
Sweden,SWE,"Goods exports (BoP, current US$)",BX.GSR.MRCH.CD,1979,29525250211.3069
Sweden,SWE,"Goods exports (BoP, current US$)",BX.GSR.MRCH.CD,1980,33215407017.4753
Sweden,SWE,"Goods exports (BoP, current US$)",BX.GSR.MRCH.CD,1981,30770137926.3035
Sweden,SWE,"Goods exports (BoP, current US$)",BX.GSR.MRCH.CD,1982,26575301677.5811
Sweden,SWE,"Goods exports (BoP, current US$)",BX.GSR.MRCH.CD,1983,27203808028.1738
Sweden,SWE,"Goods exports (BoP, current US$)",BX.GSR.MRCH.CD,1984,29122824383.5145
Sweden,SWE,"Goods exports (BoP, current US$)",BX.GSR.MRCH.CD,1985,30172874074.6404
Sweden,SWE,"Goods exports (BoP, current US$)",BX.GSR.MRCH.CD,1986,36845461737.0825
Sweden,SWE,"Goods exports (BoP, current US$)",BX.GSR.MRCH.CD,1987,44101260181.9434
Sweden,SWE,"Goods exports (BoP, current US$)",BX.GSR.MRCH.CD,1988,49551200515.6513
Sweden,SWE,"Goods exports (BoP, current US$)",BX.GSR.MRCH.CD,1989,51306544773.6
Sweden,SWE,"Goods exports (BoP, current US$)",BX.GSR.MRCH.CD,1990,57020002085.6118
Sweden,SWE,"Goods exports (BoP, current US$)",BX.GSR.MRCH.CD,1991,54747422634.9897
Sweden,SWE,"Goods exports (BoP, current US$)",BX.GSR.MRCH.CD,1992,55632443820.7728
Sweden,SWE,"Goods exports (BoP, current US$)",BX.GSR.MRCH.CD,1993,49558393054.5944
Sweden,SWE,"Goods exports (BoP, current US$)",BX.GSR.MRCH.CD,1994,60456913142.7231
Sweden,SWE,"Goods exports (BoP, current US$)",BX.GSR.MRCH.CD,1995,80203401433.7455
Sweden,SWE,"Goods exports (BoP, current US$)",BX.GSR.MRCH.CD,1996,84942949248.1633
Sweden,SWE,"Goods exports (BoP, current US$)",BX.GSR.MRCH.CD,1997,83398079667.5953
Sweden,SWE,"Goods exports (BoP, current US$)",BX.GSR.MRCH.CD,1998,88073833672.9306
Sweden,SWE,"Goods exports (BoP, current US$)",BX.GSR.MRCH.CD,1999,87623542499.9384
Sweden,SWE,"Goods exports (BoP, current US$)",BX.GSR.MRCH.CD,2000,92441279022.1879
Sweden,SWE,"Goods exports (BoP, current US$)",BX.GSR.MRCH.CD,2001,84198841252.8881
Sweden,SWE,"Goods exports (BoP, current US$)",BX.GSR.MRCH.CD,2002,84897425344.142
Sweden,SWE,"Goods exports (BoP, current US$)",BX.GSR.MRCH.CD,2003,104935699527.101
Sweden,SWE,"Goods exports (BoP, current US$)",BX.GSR.MRCH.CD,2004,127162333902.747
Sweden,SWE,"Goods exports (BoP, current US$)",BX.GSR.MRCH.CD,2005,135861187561.238
Sweden,SWE,"Goods exports (BoP, current US$)",BX.GSR.MRCH.CD,2006,155838490570.276
Sweden,SWE,"Goods exports (BoP, current US$)",BX.GSR.MRCH.CD,2007,181101772271.602
Sweden,SWE,"Goods exports (BoP, current US$)",BX.GSR.MRCH.CD,2008,197330660426.781
Sweden,SWE,"Goods exports (BoP, current US$)",BX.GSR.MRCH.CD,2009,137966200599.03
Sweden,SWE,"Goods exports (BoP, current US$)",BX.GSR.MRCH.CD,2010,166225378894.015
Sweden,SWE,"Goods exports (BoP, current US$)",BX.GSR.MRCH.CD,2011,196756415539.533
Sweden,SWE,"Goods exports (BoP, current US$)",BX.GSR.MRCH.CD,2012,184265550198.563
Sweden,SWE,"Goods exports (BoP, current US$)",BX.GSR.MRCH.CD,2013,179978088521.123
Sweden,SWE,"Goods exports (BoP, current US$)",BX.GSR.MRCH.CD,2014,180391311212.35
Sweden,SWE,"Goods exports (BoP, current US$)",BX.GSR.MRCH.CD,2015,151616384003.021
Sweden,SWE,"Goods exports (BoP, current US$)",BX.GSR.MRCH.CD,2016,151054851947.999
Sweden,SWE,"Goods exports (BoP, current US$)",BX.GSR.MRCH.CD,2017,166109782944.91
Sweden,SWE,"Goods exports (BoP, current US$)",BX.GSR.MRCH.CD,2018,180649935023.501
Sweden,SWE,"Goods exports (BoP, current US$)",BX.GSR.MRCH.CD,2019,179171472073.203
Sweden,SWE,"Goods exports (BoP, current US$)",BX.GSR.MRCH.CD,2020,172672483366.549
Sweden,SWE,"Goods exports (BoP, current US$)",BX.GSR.MRCH.CD,2021,213746380155.912
