country,country_code,indicator,indicator_code,year,value
Switzerland,CHE,GDP (current US$),NY.GDP.MKTP.CD,1960,10412232620.5258
Switzerland,CHE,GDP (current US$),NY.GDP.MKTP.CD,1961,11713348834.3069
Switzerland,CHE,GDP (current US$),NY.GDP.MKTP.CD,1962,12989649694.2812
Switzerland,CHE,GDP (current US$),NY.GDP.MKTP.CD,1963,14283872299.0456
Switzerland,CHE,GDP (current US$),NY.GDP.MKTP.CD,1964,15833133857.6281
Switzerland,CHE,GDP (current US$),NY.GDP.MKTP.CD,1965,16780226225.085
Switzerland,CHE,GDP (current US$),NY.GDP.MKTP.CD,1966,18019402373.5388
Switzerland,CHE,GDP (current US$),NY.GDP.MKTP.CD,1967,19397044714.0963
Switzerland,CHE,GDP (current US$),NY.GDP.MKTP.CD,1968,20712102793.8026
Switzerland,CHE,GDP (current US$),NY.GDP.MKTP.CD,1969,22442043274.074
Switzerland,CHE,GDP (current US$),NY.GDP.MKTP.CD,1970,24998066773.3821
Switzerland,CHE,GDP (current US$),NY.GDP.MKTP.CD,1971,30040171750.6471
Switzerland,CHE,GDP (current US$),NY.GDP.MKTP.CD,1972,36844318854.2403
Switzerland,CHE,GDP (current US$),NY.GDP.MKTP.CD,1973,49550006319.5147
Switzerland,CHE,GDP (current US$),NY.GDP.MKTP.CD,1974,57103011445.6416
Switzerland,CHE,GDP (current US$),NY.GDP.MKTP.CD,1975,65466081819.2384
Switzerland,CHE,GDP (current US$),NY.GDP.MKTP.CD,1976,68476524643.943
Switzerland,CHE,GDP (current US$),NY.GDP.MKTP.CD,1977,73135771167.048
Switzerland,CHE,GDP (current US$),NY.GDP.MKTP.CD,1978,102280472035.794
Switzerland,CHE,GDP (current US$),NY.GDP.MKTP.CD,1979,114970094424.731
Switzerland,CHE,GDP (current US$),NY.GDP.MKTP.CD,1980,122557843886.137
Switzerland,CHE,GDP (current US$),NY.GDP.MKTP.CD,1981,112244805518.786
Switzerland,CHE,GDP (current US$),NY.GDP.MKTP.CD,1982,115043365512.486
Switzerland,CHE,GDP (current US$),NY.GDP.MKTP.CD,1983,114634358534.61
Switzerland,CHE,GDP (current US$),NY.GDP.MKTP.CD,1984,109455312167.511
Switzerland,CHE,GDP (current US$),NY.GDP.MKTP.CD,1985,110980314191.527
Switzerland,CHE,GDP (current US$),NY.GDP.MKTP.CD,1986,159089921062.872
Switzerland,CHE,GDP (current US$),NY.GDP.MKTP.CD,1987,199236370037.554
Switzerland,CHE,GDP (current US$),NY.GDP.MKTP.CD,1988,215540625298.982
Switzerland,CHE,GDP (current US$),NY.GDP.MKTP.CD,1989,208105846934.409
Switzerland,CHE,GDP (current US$),NY.GDP.MKTP.CD,1990,265763573999.424
Switzerland,CHE,GDP (current US$),NY.GDP.MKTP.CD,1991,268901693863.319
Switzerland,CHE,GDP (current US$),NY.GDP.MKTP.CD,1992,279921425828.474
Switzerland,CHE,GDP (current US$),NY.GDP.MKTP.CD,1993,272237527070.926
Switzerland,CHE,GDP (current US$),NY.GDP.MKTP.CD,1994,301375055202.164
Switzerland,CHE,GDP (current US$),NY.GDP.MKTP.CD,1995,352835806342.495
Switzerland,CHE,GDP (current US$),NY.GDP.MKTP.CD,1996,340103959546.926
Switzerland,CHE,GDP (current US$),NY.GDP.MKTP.CD,1997,294788198856.198
Switzerland,CHE,GDP (current US$),NY.GDP.MKTP.CD,1998,303459014346.806
Switzerland,CHE,GDP (current US$),NY.GDP.MKTP.CD,1999,297873643323.126
Switzerland,CHE,GDP (current US$),NY.GDP.MKTP.CD,2000,279216033870.204
Switzerland,CHE,GDP (current US$),NY.GDP.MKTP.CD,2001,286582672434.226
Switzerland,CHE,GDP (current US$),NY.GDP.MKTP.CD,2002,309301422430.386
Switzerland,CHE,GDP (current US$),NY.GDP.MKTP.CD,2003,362075086507.76
Switzerland,CHE,GDP (current US$),NY.GDP.MKTP.CD,2004,403912891033.374
Switzerland,CHE,GDP (current US$),NY.GDP.MKTP.CD,2005,418284865884.998
Switzerland,CHE,GDP (current US$),NY.GDP.MKTP.CD,2006,441634672196.523
Switzerland,CHE,GDP (current US$),NY.GDP.MKTP.CD,2007,490740715594.802
Switzerland,CHE,GDP (current US$),NY.GDP.MKTP.CD,2008,567267767519.158
Switzerland,CHE,GDP (current US$),NY.GDP.MKTP.CD,2009,554212916092.271
Switzerland,CHE,GDP (current US$),NY.GDP.MKTP.CD,2010,598851027947.721
Switzerland,CHE,GDP (current US$),NY.GDP.MKTP.CD,2011,715888126682.396
Switzerland,CHE,GDP (current US$),NY.GDP.MKTP.CD,2012,686420221557.99
Switzerland,CHE,GDP (current US$),NY.GDP.MKTP.CD,2013,706234937370.968
Switzerland,CHE,GDP (current US$),NY.GDP.MKTP.CD,2014,726537809429.524
Switzerland,CHE,GDP (current US$),NY.GDP.MKTP.CD,2015,694118186379.628
Switzerland,CHE,GDP (current US$),NY.GDP.MKTP.CD,2016,687895460902.713
Switzerland,CHE,GDP (current US$),NY.GDP.MKTP.CD,2017,695200834102.045
