country,country_code,indicator,indicator_code,year,value
Tanzania,TZA,"Current account balance (BoP, current US$)",BN.CAB.XOKA.CD,1976,-27030488.9364998
Tanzania,TZA,"Current account balance (BoP, current US$)",BN.CAB.XOKA.CD,1977,-64909550.9207001
Tanzania,TZA,"Current account balance (BoP, current US$)",BN.CAB.XOKA.CD,1978,-466040112.575
Tanzania,TZA,"Current account balance (BoP, current US$)",BN.CAB.XOKA.CD,1979,-345225913.2515
Tanzania,TZA,"Current account balance (BoP, current US$)",BN.CAB.XOKA.CD,1980,-521165461.6023
Tanzania,TZA,"Current account balance (BoP, current US$)",BN.CAB.XOKA.CD,1981,-406553191.6005
Tanzania,TZA,"Current account balance (BoP, current US$)",BN.CAB.XOKA.CD,1982,-523280048.0236
Tanzania,TZA,"Current account balance (BoP, current US$)",BN.CAB.XOKA.CD,1983,-304608020.3427
Tanzania,TZA,"Current account balance (BoP, current US$)",BN.CAB.XOKA.CD,1984,-358959582.4353
Tanzania,TZA,"Current account balance (BoP, current US$)",BN.CAB.XOKA.CD,1985,-375096159.0881
Tanzania,TZA,"Current account balance (BoP, current US$)",BN.CAB.XOKA.CD,1986,-321068673.3922
Tanzania,TZA,"Current account balance (BoP, current US$)",BN.CAB.XOKA.CD,1987,-407364236.7809
Tanzania,TZA,"Current account balance (BoP, current US$)",BN.CAB.XOKA.CD,1988,-356538763.1112
Tanzania,TZA,"Current account balance (BoP, current US$)",BN.CAB.XOKA.CD,1989,-335080581.7504
Tanzania,TZA,"Current account balance (BoP, current US$)",BN.CAB.XOKA.CD,1990,-558926906.0025
Tanzania,TZA,"Current account balance (BoP, current US$)",BN.CAB.XOKA.CD,1991,-737469908.4259
Tanzania,TZA,"Current account balance (BoP, current US$)",BN.CAB.XOKA.CD,1992,-714233209.9928
Tanzania,TZA,"Current account balance (BoP, current US$)",BN.CAB.XOKA.CD,1993,-894801998.3682
Tanzania,TZA,"Current account balance (BoP, current US$)",BN.CAB.XOKA.CD,1994,-637388776.7301
Tanzania,TZA,"Current account balance (BoP, current US$)",BN.CAB.XOKA.CD,1995,-589760896.4316
Tanzania,TZA,"Current account balance (BoP, current US$)",BN.CAB.XOKA.CD,1996,-412770053.9676
Tanzania,TZA,"Current account balance (BoP, current US$)",BN.CAB.XOKA.CD,1997,-436213043.549
Tanzania,TZA,"Current account balance (BoP, current US$)",BN.CAB.XOKA.CD,1998,-704367269.876
Tanzania,TZA,"Current account balance (BoP, current US$)",BN.CAB.XOKA.CD,1999,-777101669.0163
Tanzania,TZA,"Current account balance (BoP, current US$)",BN.CAB.XOKA.CD,2000,-428301944.3986
Tanzania,TZA,"Current account balance (BoP, current US$)",BN.CAB.XOKA.CD,2001,-563686382.74754
Tanzania,TZA,"Current account balance (BoP, current US$)",BN.CAB.XOKA.CD,2002,-45782682.6343699
Tanzania,TZA,"Current account balance (BoP, current US$)",BN.CAB.XOKA.CD,2003,-174205033.39873
Tanzania,TZA,"Current account balance (BoP, current US$)",BN.CAB.XOKA.CD,2004,-483381776.29385
Tanzania,TZA,"Current account balance (BoP, current US$)",BN.CAB.XOKA.CD,2005,-1092558909.60172
Tanzania,TZA,"Current account balance (BoP, current US$)",BN.CAB.XOKA.CD,2006,-1102054171.68581
Tanzania,TZA,"Current account balance (BoP, current US$)",BN.CAB.XOKA.CD,2007,-1714736151.20674
Tanzania,TZA,"Current account balance (BoP, current US$)",BN.CAB.XOKA.CD,2008,-2577086334.69338
Tanzania,TZA,"Current account balance (BoP, current US$)",BN.CAB.XOKA.CD,2009,-1809914737.57817
Tanzania,TZA,"Current account balance (BoP, current US$)",BN.CAB.XOKA.CD,2010,-2210780020.37976
Tanzania,TZA,"Current account balance (BoP, current US$)",BN.CAB.XOKA.CD,2011,-4380951347.66407
Tanzania,TZA,"Current account balance (BoP, current US$)",BN.CAB.XOKA.CD,2012,-3764335914.81112
Tanzania,TZA,"Current account balance (BoP, current US$)",BN.CAB.XOKA.CD,2013,-4987954731.62522
Tanzania,TZA,"Current account balance (BoP, current US$)",BN.CAB.XOKA.CD,2014,-4986550868.78386
Tanzania,TZA,"Current account balance (BoP, current US$)",BN.CAB.XOKA.CD,2015,-2618573746.19552
Tanzania,TZA,"Current account balance (BoP, current US$)",BN.CAB.XOKA.CD,2016,-1217739522.24871
Tanzania,TZA,"Current account balance (BoP, current US$)",BN.CAB.XOKA.CD,2017,-1477529192.6539
Tanzania,TZA,"Current account balance (BoP, current US$)",BN.CAB.XOKA.CD,2018,-2308826640.338
Tanzania,TZA,"Current account balance (BoP, current US$)",BN.CAB.XOKA.CD,2019,-1340241663.51349
Tanzania,TZA,"Current account balance (BoP, current US$)",BN.CAB.XOKA.CD,2020,-1458547369.67891
Tanzania,TZA,"Current account balance (BoP, current US$)",BN.CAB.XOKA.CD,2021,-2374193508.43348
Tanzania,TZA,"Current account balance (BoP, current US$)",BN.CAB.XOKA.CD,2022,-5482216435.41329
Tanzania,TZA,"Current account balance (BoP, current US$)",BN.CAB.XOKA.CD,2023,-2958303205.82484
