country,country_code,indicator,indicator_code,year,value
Thailand,THA,"Services, value added (% of GDP)",NV.SRV.TOTL.ZS,1993,55.1193132615846
Thailand,THA,"Services, value added (% of GDP)",NV.SRV.TOTL.ZS,1994,54.3772583482647
Thailand,THA,"Services, value added (% of GDP)",NV.SRV.TOTL.ZS,1995,53.6407551757937
Thailand,THA,"Services, value added (% of GDP)",NV.SRV.TOTL.ZS,1996,53.8552978439203
Thailand,THA,"Services, value added (% of GDP)",NV.SRV.TOTL.ZS,1997,54.370497907781
Thailand,THA,"Services, value added (% of GDP)",NV.SRV.TOTL.ZS,1998,53.6290455515444
Thailand,THA,"Services, value added (% of GDP)",NV.SRV.TOTL.ZS,1999,54.7281049457746
Thailand,THA,"Services, value added (% of GDP)",NV.SRV.TOTL.ZS,2000,54.8307434977968
Thailand,THA,"Services, value added (% of GDP)",NV.SRV.TOTL.ZS,2001,55.0997090552462
Thailand,THA,"Services, value added (% of GDP)",NV.SRV.TOTL.ZS,2002,54.4133903727448
Thailand,THA,"Services, value added (% of GDP)",NV.SRV.TOTL.ZS,2003,52.6404701499991
Thailand,THA,"Services, value added (% of GDP)",NV.SRV.TOTL.ZS,2004,52.8065873658848
Thailand,THA,"Services, value added (% of GDP)",NV.SRV.TOTL.ZS,2005,52.3004340059921
Thailand,THA,"Services, value added (% of GDP)",NV.SRV.TOTL.ZS,2006,51.4511506498788
Thailand,THA,"Services, value added (% of GDP)",NV.SRV.TOTL.ZS,2007,51.220943421775
Thailand,THA,"Services, value added (% of GDP)",NV.SRV.TOTL.ZS,2008,50.4479532095063
Thailand,THA,"Services, value added (% of GDP)",NV.SRV.TOTL.ZS,2009,51.6043673521408
Thailand,THA,"Services, value added (% of GDP)",NV.SRV.TOTL.ZS,2010,49.5560986644794
Thailand,THA,"Services, value added (% of GDP)",NV.SRV.TOTL.ZS,2011,50.4268099513695
Thailand,THA,"Services, value added (% of GDP)",NV.SRV.TOTL.ZS,2012,51.1522057089623
Thailand,THA,"Services, value added (% of GDP)",NV.SRV.TOTL.ZS,2013,51.7791961972126
Thailand,THA,"Services, value added (% of GDP)",NV.SRV.TOTL.ZS,2014,53.1480380193834
Thailand,THA,"Services, value added (% of GDP)",NV.SRV.TOTL.ZS,2015,54.9480990258654
Thailand,THA,"Services, value added (% of GDP)",NV.SRV.TOTL.ZS,2016,55.9351576320684
Thailand,THA,"Services, value added (% of GDP)",NV.SRV.TOTL.ZS,2017,56.5748278870276
Thailand,THA,"Services, value added (% of GDP)",NV.SRV.TOTL.ZS,2018,57.0556910705407
Thailand,THA,"Services, value added (% of GDP)",NV.SRV.TOTL.ZS,2019,58.2775214465787
Thailand,THA,"Services, value added (% of GDP)",NV.SRV.TOTL.ZS,2020,58.006424885407
Thailand,THA,"Services, value added (% of GDP)",NV.SRV.TOTL.ZS,2021,56.2753751026927
Thailand,THA,"Services, value added (% of GDP)",NV.SRV.TOTL.ZS,2022,56.1587909124394
Thailand,THA,"Services, value added (% of GDP)",NV.SRV.TOTL.ZS,2023,58.4568146846269
Thailand,THA,"Services, value added (% of GDP)",NV.SRV.TOTL.ZS,2024,59.1548990264018
