country,country_code,indicator,indicator_code,year,value
Togo,TGO,Expense (% of GDP),GC.XPN.TOTL.GD.ZS,2004,9.30569914816789
Togo,TGO,Expense (% of GDP),GC.XPN.TOTL.GD.ZS,2005,10.5376711963862
Togo,TGO,Expense (% of GDP),GC.XPN.TOTL.GD.ZS,2006,11.5125384057586
Togo,TGO,Expense (% of GDP),GC.XPN.TOTL.GD.ZS,2007,11.6444432316601
Togo,TGO,Expense (% of GDP),GC.XPN.TOTL.GD.ZS,2008,9.60449189290675
Togo,TGO,Expense (% of GDP),GC.XPN.TOTL.GD.ZS,2009,10.5434134645921
Togo,TGO,Expense (% of GDP),GC.XPN.TOTL.GD.ZS,2010,10.2474183569813
Togo,TGO,Expense (% of GDP),GC.XPN.TOTL.GD.ZS,2011,10.8080463782654
Togo,TGO,Expense (% of GDP),GC.XPN.TOTL.GD.ZS,2012,12.5172538495563
Togo,TGO,Expense (% of GDP),GC.XPN.TOTL.GD.ZS,2013,12.8302678943147
Togo,TGO,Expense (% of GDP),GC.XPN.TOTL.GD.ZS,2014,11.5546462254895
Togo,TGO,Expense (% of GDP),GC.XPN.TOTL.GD.ZS,2015,12.9253756844092
Togo,TGO,Expense (% of GDP),GC.XPN.TOTL.GD.ZS,2016,13.6105290587947
Togo,TGO,Expense (% of GDP),GC.XPN.TOTL.GD.ZS,2017,11.5121383933709
Togo,TGO,Expense (% of GDP),GC.XPN.TOTL.GD.ZS,2018,13.6291888351152
Togo,TGO,Expense (% of GDP),GC.XPN.TOTL.GD.ZS,2019,13.3963670222042
Togo,TGO,Expense (% of GDP),GC.XPN.TOTL.GD.ZS,2020,14.4035059657002
Togo,TGO,Expense (% of GDP),GC.XPN.TOTL.GD.ZS,2021,13.4917127567891
Togo,TGO,Expense (% of GDP),GC.XPN.TOTL.GD.ZS,2022,16.155575422123
Togo,TGO,Expense (% of GDP),GC.XPN.TOTL.GD.ZS,2023,16.9934097189727
