country,country_code,indicator,indicator_code,year,value
Turkiye,TUR,Battle-related deaths (number of people),VC.BTL.DETH,1989,442.0
Turkiye,TUR,Battle-related deaths (number of people),VC.BTL.DETH,1990,526.0
Turkiye,TUR,Battle-related deaths (number of people),VC.BTL.DETH,1991,386.0
Turkiye,TUR,Battle-related deaths (number of people),VC.BTL.DETH,1992,1687.0
Turkiye,TUR,Battle-related deaths (number of people),VC.BTL.DETH,1993,2334.0
Turkiye,TUR,Battle-related deaths (number of people),VC.BTL.DETH,1994,3949.0
Turkiye,TUR,Battle-related deaths (number of people),VC.BTL.DETH,1995,3555.0
Turkiye,TUR,Battle-related deaths (number of people),VC.BTL.DETH,1996,3740.0
Turkiye,TUR,Battle-related deaths (number of people),VC.BTL.DETH,1997,3364.0
Turkiye,TUR,Battle-related deaths (number of people),VC.BTL.DETH,1998,2024.0
Turkiye,TUR,Battle-related deaths (number of people),VC.BTL.DETH,1999,1138.0
Turkiye,TUR,Battle-related deaths (number of people),VC.BTL.DETH,2000,153.0
Turkiye,TUR,Battle-related deaths (number of people),VC.BTL.DETH,2001,103.0
Turkiye,TUR,Battle-related deaths (number of people),VC.BTL.DETH,2002,28.0
Turkiye,TUR,Battle-related deaths (number of people),VC.BTL.DETH,2003,93.0
Turkiye,TUR,Battle-related deaths (number of people),VC.BTL.DETH,2004,194.0
Turkiye,TUR,Battle-related deaths (number of people),VC.BTL.DETH,2005,293.0
Turkiye,TUR,Battle-related deaths (number of people),VC.BTL.DETH,2006,225.0
Turkiye,TUR,Battle-related deaths (number of people),VC.BTL.DETH,2007,494.0
Turkiye,TUR,Battle-related deaths (number of people),VC.BTL.DETH,2008,471.0
Turkiye,TUR,Battle-related deaths (number of people),VC.BTL.DETH,2009,138.0
Turkiye,TUR,Battle-related deaths (number of people),VC.BTL.DETH,2010,226.0
Turkiye,TUR,Battle-related deaths (number of people),VC.BTL.DETH,2011,405.0
Turkiye,TUR,Battle-related deaths (number of people),VC.BTL.DETH,2012,785.0
Turkiye,TUR,Battle-related deaths (number of people),VC.BTL.DETH,2013,20.0
Turkiye,TUR,Battle-related deaths (number of people),VC.BTL.DETH,2015,902.0
Turkiye,TUR,Battle-related deaths (number of people),VC.BTL.DETH,2016,1424.0
Turkiye,TUR,Battle-related deaths (number of people),VC.BTL.DETH,2017,391.0
Turkiye,TUR,Battle-related deaths (number of people),VC.BTL.DETH,2018,433.0
Turkiye,TUR,Battle-related deaths (number of people),VC.BTL.DETH,2019,277.0
Turkiye,TUR,Battle-related deaths (number of people),VC.BTL.DETH,2020,189.0
Turkiye,TUR,Battle-related deaths (number of people),VC.BTL.DETH,2021,131.0
Turkiye,TUR,Battle-related deaths (number of people),VC.BTL.DETH,2022,83.0
Turkiye,TUR,Battle-related deaths (number of people),VC.BTL.DETH,2023,101.0
